time,voltage,current,shunt_voltage,temperature,temperature old
2024-02-19 20:23:52,0.192187378,0.0227827518454627,1.07373059,367.4954416480981,367.4954416480981
2024-02-19 20:23:56,0.192341224,0.022780434805672,1.07362139,367.7923394860696,367.79549284811264
2024-02-19 20:24:01,0.192523125,0.0227788922343095,1.07354869,368.125758735332,368.1328536349945
2024-02-19 20:24:05,0.192578932,0.0227759095760368,1.07340812,368.2628468829517,368.27309488076367
2024-02-19 20:24:09,0.192618449,0.0227731380399795,1.0732775,368.3686810560212,368.3820820346983
2024-02-19 20:24:13,0.192649821,0.0227704305832277,1.0731499,368.4595021397452,368.47605598200425
2024-02-19 20:24:17,0.192701707,0.0227709425811229,1.07317403,368.5386908699403,368.5583974584993
2024-02-19 20:24:22,0.192745749,0.0227709041759762,1.07317222,368.61157431059763,368.6352216671052
2024-02-19 20:24:26,0.192794015,0.0227693552391197,1.07309922,368.7147092967992,368.741509135726
2024-02-19 20:24:30,0.192832325,0.022769060941117,1.07308535,368.7822163867532,368.8121685908208
2024-02-19 20:24:34,0.192863396,0.0227686639464789,1.07306664,368.8386963097766,368.8718007617077
2024-02-19 20:24:38,0.192893562,0.0227690673066109,1.07308565,368.88186896021284,368.9181255427311
2024-02-19 20:24:43,0.192907137,0.0227680367331436,1.07303708,368.9165603985948,368.9567569794292
2024-02-19 20:24:47,0.192934286,0.0227681839882365,1.07304402,368.9582673343579,369.0016157819122
2024-02-19 20:24:51,0.192983155,0.0227676719903414,1.07301989,369.0472698454501,369.0937700424519
2024-02-19 20:24:55,0.192998238,0.0227665709720745,1.072968,369.0864078366447,369.1360596658227
2024-02-19 20:24:59,0.193013924,0.0227663341757003,1.07295684,369.11390331821406,369.16670666229817
2024-02-19 20:25:03,0.193032326,0.0227658540052748,1.07293421,369.1496786712696,369.2056334129909
2024-02-19 20:25:08,0.19304952,0.0227655533417782,1.07292004,369.17993904342796,369.2398328672881
2024-02-19 20:25:12,0.193066715,0.0227645354992987,1.07287207,369.2215264883858,369.2845714460325
2024-02-19 20:25:16,0.193100199,0.0227653099677269,1.07290857,369.265000269,369.331196243168
2024-02-19 20:25:20,0.193110757,0.0227648363749785,1.07288625,369.2870978279444,369.3564447013701
2024-02-19 20:25:24,0.193130365,0.0227642987029245,1.07286091,369.32581629608535,369.3983139515061
2024-02-19 20:25:28,0.193141225,0.0227638121670051,1.07283798,369.3486304991352,369.4242788192896
2024-02-19 20:25:33,0.193156006,0.0227626665902807,1.07278399,369.3871399478311,369.46672643400575
2024-02-19 20:25:37,0.193163548,0.0227617575977474,1.07274115,369.4104208040951,369.4931576911698
