time,shunt_voltage,voltage,temperature,current,seconds_combined,temperature_uncorr
2023-08-07 10:15:12.238,2.1395646,0.30338677,,0.0453979515840531,10.234,298.9299457117831
2023-08-07 10:15:13.368,2.1394995,0.30418332,,0.0453965702718702,11.364,299.618883843175
2023-08-07 10:15:14.494,2.138967,0.30478426,,0.0453852715201436,12.49,300.19764310500665
2023-08-07 10:15:15.621,2.1384237,0.30531782,,0.0453737436106354,13.617,300.7204300401943
2023-08-07 10:15:16.752,2.1379674,0.30580683,,0.0453640616943671,14.748,301.1947574423754
2023-08-07 10:15:17.900,2.1375328,0.30624802,,0.0453548402154931,15.896,301.62573116103755
2023-08-07 10:15:19.023,2.1371742,0.3066414,,0.0453472313284149,17.019,302.0066341062302
2023-08-07 10:15:20.149,2.1368047,0.30699458,,0.0453393911617238,18.145,302.35460150402054
2023-08-07 10:15:21.274,2.1365331,0.30731841,,0.0453336282678854,19.27,302.6655007022856
2023-08-07 10:15:22.396,2.1362289,0.30760855,,0.0453271736570399,20.392,302.9516512839133
2023-08-07 10:15:23.520,2.1359572,0.30786827,,0.0453214086413701,21.516,303.2078106096061
2023-08-07 10:15:24.648,2.1357073,0.30810952,,0.045316106184926,22.644,303.44551864077147
2023-08-07 10:15:25.777,2.1355009,0.30832468,,0.0453117267251019,23.773,303.65553814352376
2023-08-07 10:15:26.913,2.1352509,0.30852137,,0.0453064221468264,24.909,303.85517139122203
2023-08-07 10:15:28.068,2.1350771,0.30870937,,0.0453027344040094,26.064,304.03795649285473
2023-08-07 10:15:29.187,2.1349032,0.30886694,,0.045299044539361,27.183,304.1946881369619
2023-08-07 10:15:30.321,2.1347077,0.30901472,,0.0452948963591496,28.317,304.3457345517379
2023-08-07 10:15:31.467,2.1345664,0.30915382,,0.0452918982115083,29.463,304.4826308432376
2023-08-07 10:15:32.603,2.1344686,0.30928205,,0.045289823060487,30.599,304.60481348852807
2023-08-07 10:15:33.726,2.1343382,0.30939072,,0.0452870561924585,31.722,304.71428104386746
2023-08-07 10:15:34.864,2.1342187,0.30950047,,0.0452845206040429,32.86,304.8233350270277
2023-08-07 10:15:35.988,2.13411,0.30959284,,0.0452822141734087,33.984,304.91614232294626
2023-08-07 10:15:37.110,2.1340123,0.30967978,,0.0452801411442187,35.106,305.0029301180249
2023-08-07 10:15:38.246,2.1338819,0.30976019,,0.0452773742761902,36.242,305.08819703184406
2023-08-07 10:15:39.398,2.1338058,0.30983517,,0.0452757595625632,37.394,305.162045900011
2023-08-07 10:15:40.522,2.1337406,0.30990255,,0.045274376128549,38.518,305.2280177019916
2023-08-07 10:15:41.656,2.1336102,0.3099634,,0.0452716092605205,39.652,305.2965202802352
2023-08-07 10:15:42.788,2.133545,0.31002317,,0.0452702258265063,40.784,305.3559704139984
2023-08-07 10:15:43.917,2.1334798,0.31007533,,0.0452688423924921,41.913,305.4088908444359
2023-08-07 10:15:45.057,2.1334146,0.31012749,,0.0452674589584778,43.053,305.46181515710566
2023-08-07 10:15:46.191,2.133306,0.31017639,,0.045265154649675,44.187,305.51736259460296
2023-08-07 10:15:47.325,2.1332734,0.31021769,,0.0452644629326679,45.321,305.556898705561
2023-08-07 10:15:48.460,2.1332299,0.3102655,,0.045263539936048,46.456,305.6033883669156
2023-08-07 10:15:49.584,2.1331647,0.31030027,,0.0452621565020337,47.58,305.6413926640131
2023-08-07 10:15:50.740,2.133143,0.31034157,,0.0452616960646394,48.736,305.6795725743484
2023-08-07 10:15:51.869,2.1331104,0.310372,,0.0452610043476323,49.865,305.70978012580525
2023-08-07 10:15:53.002,2.1330452,0.31040677,,0.0452596209136181,50.998,305.7477906855431
2023-08-07 10:15:54.135,2.1330343,0.31043611,,0.0452593896340053,52.131,305.77435253236644
2023-08-07 10:15:55.271,2.13298,0.31046328,,0.0452582374796038,53.267,305.8044765477706
2023-08-07 10:15:56.400,2.1329583,0.31049479,,0.0452577770422095,54.396,305.834254025958
2023-08-07 10:15:57.552,2.1329039,0.31052196,,0.0452566227659768,55.548,305.8643936090835
2023-08-07 10:15:58.694,2.1328605,0.31054695,,0.0452557018911882,56.69,305.8912866066053
2023-08-07 10:15:59.826,2.1327844,0.31056651,,0.0452540871775612,57.822,305.91760677968256
2023-08-07 10:16:00.959,2.1327301,0.31058933,,0.0452529350231597,58.955,305.9440021804369
2023-08-07 10:16:02.080,2.1327192,0.31060781,,0.0452527037435469,60.076,305.9612409026395
2023-08-07 10:16:03.215,2.1326432,0.31062302,,0.0452510911517512,61.211,305.9838162258107
2023-08-07 10:16:04.356,2.132578,0.31064258,,0.045249707717737,62.352,306.00877884177805
2023-08-07 10:16:05.490,2.1325454,0.31065997,,0.0452490160007299,63.486,306.02779876506287
2023-08-07 10:16:06.624,2.1324802,0.31067192,,0.0452476325667156,64.62,306.0462259093364
2023-08-07 10:16:07.745,2.1324585,0.31069365,,0.0452471721293213,65.741,306.0676118175782
2023-08-07 10:16:08.867,2.132415,0.31071213,,0.0452462491327014,66.863,306.08893501813213
2023-08-07 10:16:09.996,2.1323933,0.31072299,,0.0452457886953071,67.992,306.10098259572834
2023-08-07 10:16:11.129,2.1323607,0.31074364,,0.0452450969783,69.125,306.12280707566447
2023-08-07 10:16:12.262,2.1323172,0.31075451,,0.0452441739816801,70.258,306.13759382710134
2023-08-07 10:16:13.434,2.1322955,0.31077516,,0.0452437135442858,71.43,306.1580546987906
2023-08-07 10:16:14.569,2.1322629,0.31079689,,0.0452430218272786,72.565,306.1808093167241
