time,voltage,current,shunt_voltage,temperature,temperature old
2024-03-04 13:38:59,0.0672408226,0.0257564515341901,1.21387838,143.49682952576993,143.49682952576993
2024-03-04 13:39:08,0.0675370521,0.0257494617974881,1.21354896,143.9495947655916,143.95651660731554
2024-03-04 13:39:12,0.0676522859,0.0257475928884701,1.21346088,144.12214509932713,144.13214516326923
2024-03-04 13:39:16,0.06776028,0.0257451413245744,1.21334534,144.28638101535,144.299460437648
2024-03-04 13:39:20,0.0679343374,0.0257435028464367,1.21326812,144.54411754485332,144.56027746082276
2024-03-04 13:39:24,0.068007339,0.0257403536244061,1.2131197,144.65995012327963,144.67919166741427
2024-03-04 13:39:29,0.0680743074,0.0257397264110708,1.21309014,144.75646129699115,144.77955647046358
2024-03-04 13:39:33,0.0681334326,0.0257376718418132,1.21299331,144.84780333626864,144.8739826875165
2024-03-04 13:39:37,0.0681901446,0.0257366860389865,1.21294685,144.93148833264837,144.96075299349943
2024-03-04 13:39:41,0.06824203,0.0257363149306903,1.21292936,145.0057353508545,145.03808645231732
2024-03-04 13:39:45,0.0683346394,0.0257343883078607,1.21283856,145.14559729412304,145.18103596638795
2024-03-04 13:39:50,0.0683777767,0.0257319176474831,1.21272212,145.21444613549326,145.25374585934492
2024-03-04 13:39:54,0.0684160874,0.0257311429668718,1.21268561,145.27042019066877,145.31281002526129
2024-03-04 13:40:02,0.0684878824,0.0257297733247611,1.21262106,145.3746149515386,145.42318838940068
2024-03-04 13:40:07,0.0685512308,0.0257284548187849,1.21255892,145.46858037939134,145.52102085670242
2024-03-04 13:40:11,0.0685816984,0.0257278467019315,1.21253026,145.51244081970984,145.56797619415244
2024-03-04 13:40:15,0.0686127693,0.0257272258540901,1.212501,145.55723520045328,145.6158665960989
2024-03-04 13:40:24,0.0686658614,0.0257267713578235,1.21247958,145.62973484674083,145.69533639576812
2024-03-04 13:40:28,0.0686936141,0.0257260864306765,1.2124473,145.6699258159579,145.73862703380723
2024-03-04 13:40:32,0.0687421812,0.0257257537275271,1.21243162,145.73920315924107,145.8110051665318
2024-03-04 13:40:36,0.0687632974,0.0257239293769666,1.21234564,145.7741421644502,145.84904608099112
2024-03-04 13:40:40,0.0687865251,0.0257233726084308,1.2123194,145.8072148726057,145.88522181739546
2024-03-04 13:40:44,0.0688100546,0.0257235069203528,1.21232573,145.83802408687188,145.91913517809985
2024-03-04 13:40:49,0.0688281541,0.0257230526362693,1.21230432,145.86241296162297,145.94740580712022
2024-03-04 13:40:57,0.0688872794,0.0257215739320292,1.21223463,145.9485367394296,146.0397440193052
2024-03-04 13:41:01,0.0689068872,0.0257218364025623,1.212247,145.97310039084897,146.0674165604511
2024-03-04 13:41:05,0.0689255901,0.0257205051655983,1.21218426,146.00258933720374,146.10001551048222
2024-03-04 13:41:10,0.0689418797,0.0257209530841878,1.21220537,146.02078860137667,146.12210384451507
2024-03-04 13:41:14,0.0689599793,0.0257192505267446,1.21212513,146.0508535574956,146.1552813077526
2024-03-04 13:41:18,0.0689756656,0.0257183544773823,1.2120829,146.0742220291166,146.18176339782582
2024-03-04 13:41:22,0.0690079431,0.0257188537442896,1.21210643,146.11640059383615,146.22705669152762
2024-03-04 13:41:26,0.0690209145,0.0257171382436753,1.21202558,146.13901507379848,146.25278701019914
2024-03-04 13:41:30,0.0690378074,0.0257166135147923,1.21200085,146.16269327972816,146.27958216376254
2024-03-04 13:41:35,0.0690525887,0.0257167223647385,1.21200598,146.18000922134365,146.30079584812376
2024-03-04 13:41:39,0.0690731015,0.0257175416038074,1.21204459,146.20370149802372,146.3276075645868
2024-03-04 13:41:43,0.0690857712,0.0257171255126874,1.21202498,146.220766888098,146.34779350076485
2024-03-04 13:41:47,0.0691132222,0.0257166582854329,1.21200296,146.259674981795,146.38982324608645
2024-03-04 13:41:51,0.0691243836,0.0257153652414325,1.21194202,146.27798314942802,146.41125417006566
2024-03-04 13:41:55,0.0691385616,0.0257151157140704,1.21193026,146.29660135241934,146.43299623332615
2024-03-04 13:42:00,0.0691521363,0.025715045269271,1.21192694,146.31284894189577,146.45315019931485
2024-03-04 13:42:04,0.0691672193,0.0257129522948666,1.2118283,146.3400516822142,146.48347928081205
2024-03-04 13:42:08,0.0691753641,0.0257122546367318,1.21179542,146.35159978822745,146.49815482933548
2024-03-04 13:42:12,0.0692019101,0.0257125041640939,1.21180718,146.3863622329603,146.5360458171139
2024-03-04 13:42:16,0.0692127698,0.0257122673677197,1.21179602,146.40006903488927,146.5528822618283
2024-03-04 13:42:21,0.0692284561,0.025713163417082,1.21183825,146.41559401253164,146.57232083825073
2024-03-04 13:42:25,0.0692417291,0.0257121201126268,1.21178908,146.43601285633784,146.59587179635167
2024-03-04 13:42:29,0.0692501756,0.0257121648832674,1.21179119,146.44507248089803,146.60806463236526
2024-03-04 13:42:33,0.0692607337,0.0257116465198783,1.21176676,146.45944478195966,146.62557124124606
2024-03-04 13:42:37,0.0692824531,0.0257113649528635,1.21175349,146.48922804288162,146.65848990556066
2024-03-04 13:42:42,0.0692966311,0.0257112049667827,1.21174595,146.5067024057605,146.6798850621244
2024-03-04 13:42:46,0.0693074909,0.0257105711757703,1.21171608,146.52197092158008,146.698291443483
2024-03-04 13:42:50,0.069315334,0.0257087854425397,1.21163192,146.53736991333568,146.7168293937802
2024-03-04 13:42:54,0.0693261937,0.0257095151403273,1.21166631,146.5472536703828,146.72985320158168
2024-03-04 13:42:58,0.0693379584,0.0257092399388063,1.21165334,146.5624303499461,146.74817102332298
