time,sample_holder_temp,exhaust_temp,target_temp,cooling_active,heating_active,proportional,integral,derivative
2023-10-11 18:07:15,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:16,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:18,nan,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:19,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:21,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:22,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:24,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:25,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:27,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:28,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:30,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:31,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:33,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:34,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:36,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:37,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:39,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:41,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:42,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:44,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:45,296.10,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:47,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:48,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:50,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:51,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:53,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:54,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:56,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:57,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:07:59,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:00,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:02,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:03,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:05,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:06,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:08,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:09,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:11,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:12,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:14,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:15,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:17,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:19,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:20,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:22,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:23,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:25,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:26,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:28,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:29,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:31,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:32,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:34,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:35,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:37,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:38,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:40,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:41,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:43,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:44,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:46,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:47,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:49,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:50,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:52,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:53,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:55,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:57,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:08:58,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:00,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:01,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:03,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:04,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:06,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:07,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:09,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:10,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:12,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:13,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:15,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:16,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:18,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:19,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:21,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:22,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:24,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:25,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:27,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:28,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:30,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:31,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:33,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:35,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:36,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:38,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:39,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:41,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:42,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:44,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:45,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:47,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:48,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:50,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:51,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:53,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:54,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:56,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:57,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:09:59,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:00,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:02,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:03,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:05,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:06,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:08,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:09,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:11,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:13,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:14,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:16,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:17,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:19,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:20,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:22,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:23,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:25,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:26,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:28,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:29,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:31,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:32,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:34,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:35,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:37,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:38,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:40,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:41,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:43,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:44,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:46,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:47,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:49,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:51,nan,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:52,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:54,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:55,296.13,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:57,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:10:58,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:00,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:01,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:03,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:04,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:06,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:07,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:09,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:10,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:12,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:13,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:15,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:16,296.11,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:18,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:19,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:21,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:22,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:24,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:25,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:27,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:28,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:30,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:32,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:33,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:35,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:36,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:38,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:39,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:41,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:42,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:44,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:45,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:47,296.12,nan,-1.00,0,0,0,0,0
2023-10-11 18:11:48,296.12,nan,-1.00,0,0,0,0,0
