time,shunt_voltage,voltage,temperature,current
2023-07-01 10:39:36.995,0.17297991,0.024402056,297.59555764122234,0.003670341890679007
2023-07-01 10:39:38.860,0.17305163,0.024417403,297.6508159643941,0.0036718636680946595
2023-07-01 10:39:39.979,0.17309836,0.024423934,297.6501551560727,0.0036728551998659003
2023-07-01 10:39:41.103,0.17315704,0.024430791,297.6351316286649,0.0036741002904787066
2023-07-01 10:39:42.219,0.1731766,0.024429702,297.59449322570543,0.003674515320682975
2023-07-01 10:39:43.342,0.17314834,0.024431879,297.6595847996387,0.003673915691154722
2023-07-01 10:39:44.468,0.17317986,0.024436124,297.65744568036257,0.003674584492383686
2023-07-01 10:39:45.596,0.17319942,0.024434927,297.61566974692585,0.003674999522587955
2023-07-01 10:39:46.754,0.17318095,0.024434383,297.63743900674825,0.003674607620344967
2023-07-01 10:39:47.888,0.1731766,0.024436886,297.6703487897051,0.003674515320682975
2023-07-01 10:39:49.012,0.17320268,0.024436995,297.63264680401716,0.0036750686942886666
2023-07-01 10:39:50.134,0.17318312,0.024435797,297.64913608400104,0.0036746536640843977
2023-07-01 10:39:51.260,0.17319833,0.02443928,297.66325069632336,0.0036749763946266746
2023-07-01 10:39:52.382,0.17317008,0.024437104,297.6823658172003,0.003674376977281552
2023-07-01 10:39:53.519,0.17316899,0.024437212,297.6851304759242,0.0036743538493202712
2023-07-01 10:39:54.648,0.17319833,0.024438301,297.65291467574013,0.0036749763946266746
2023-07-01 10:39:55.772,0.17319181,0.024437104,297.6499897847133,0.0036748380512252516
2023-07-01 10:39:56.888,0.17316573,0.024438192,297.70033693940127,0.0036742846776195597
2023-07-01 10:39:58.003,0.17317443,0.02443841,297.6896743027473,0.003674469276943544
2023-07-01 10:39:59.132,0.1731929,0.024439498,297.6736419873952,0.0036748611791865326
2023-07-01 10:40:00.264,0.17321463,0.024435906,297.6033520468382,0.0036753222531302316
2023-07-01 10:40:01.387,0.17321681,0.024440695,297.65066052590623,0.003675368509052793
2023-07-01 10:40:02.513,0.17320703,0.024440804,297.66637963992184,0.003675160993950659
2023-07-01 10:40:03.636,0.17321789,0.024442328,297.66629067982603,0.003675391424830943
2023-07-01 10:40:04.761,0.17320377,0.02443928,297.65514667379296,0.0036750918222499475
2023-07-01 10:40:05.885,0.17321355,0.024443199,297.6819507098553,0.0036752993373520815
2023-07-01 10:40:07.019,0.17321572,0.024440151,297.6465413285229,0.003675345381091512
2023-07-01 10:40:08.144,0.17318312,0.024440587,297.6997120564479,0.0036746536640843977
2023-07-01 10:40:09.266,0.17316356,0.024440042,297.7231068172003,0.003674238633880129
2023-07-01 10:40:10.390,0.17320051,0.024439389,297.6611538457548,0.003675022650549236
2023-07-01 10:40:11.504,0.17318747,0.024438301,297.6690938011228,0.0036747459637463905
2023-07-01 10:40:12.628,0.17320594,0.024439825,297.6576678567368,0.003675137865989378
2023-07-01 10:40:13.745,0.17321355,0.024440151,297.64977356997144,0.0036752993373520815
2023-07-01 10:40:14.870,0.17319399,0.024442219,297.7007463663259,0.003674884307147813
2023-07-01 10:40:15.994,0.17320594,0.024442437,297.6852434436514,0.003675137865989378
2023-07-01 10:40:17.118,0.17319942,0.024438083,297.6489893564842,0.003674999522587955
2023-07-01 10:40:18.251,0.17318747,0.024441348,297.70126524539313,0.0036747459637463905
2023-07-01 10:40:19.372,0.17320268,0.024440695,297.6717092338992,0.0036750686942886666
2023-07-01 10:40:20.491,0.17321029,0.024443199,297.68680733368024,0.00367523016565137
2023-07-01 10:40:21.618,0.17320594,0.024441348,297.6737465775909,0.003675137865989378
2023-07-01 10:40:22.744,0.17319725,0.02444026,297.6752062865497,0.0036749534788485245
2023-07-01 10:40:23.875,0.17319073,0.024442437,297.70790566217755,0.003674815135447101
2023-07-01 10:40:24.992,0.17321355,0.024440151,297.64977356997144,0.0036752993373520815
2023-07-01 10:40:26.116,0.17319616,0.024438736,297.66074003041575,0.0036749303508872436
2023-07-01 10:40:27.242,0.17319399,0.024438736,297.6639728522548,0.003674884307147813
2023-07-01 10:40:28.367,0.17318855,0.024438736,297.6720776096592,0.0036747688795245397
2023-07-01 10:40:29.493,0.17319833,0.024442763,297.7000232805476,0.0036749763946266746
2023-07-01 10:40:30.622,0.17319942,0.024438954,297.6581850723254,0.003674999522587955
2023-07-01 10:40:31.753,0.17319616,0.024439825,297.6722375456785,0.0036749303508872436
2023-07-01 10:40:32.880,0.17320703,0.024442546,297.684770286977,0.003675160993950659
2023-07-01 10:40:34.011,0.17318529,0.024441022,297.7010715559504,0.003674699707823828
2023-07-01 10:40:35.135,0.17319181,0.024439607,297.6764167850698,0.0036748380512252516
2023-07-01 10:40:36.270,0.17318529,0.02444309,297.7229068446601,0.003674699707823828
2023-07-01 10:40:37.415,0.17318421,0.024438301,297.673950914295,0.0036746767920456786
2023-07-01 10:40:38.540,0.17320485,0.024441566,297.6776719165935,0.003675114738028097
2023-07-01 10:40:39.663,0.17318747,0.024440369,297.69092856201473,0.0036747459637463905
2023-07-01 10:40:40.789,0.17317877,0.024439607,297.6958463994629,0.0036745613644224057
2023-07-01 10:40:41.909,0.17320051,0.024441022,297.678394406702,0.003675022650549236
2023-07-01 10:40:43.041,0.17319725,0.024443852,297.7131300519919,0.0036749534788485245
2023-07-01 10:40:44.167,0.17319507,0.024440151,297.6773033534642,0.003674907222925963
2023-07-01 10:40:45.301,0.17320811,0.024440804,297.66477077389936,0.0036751839097288086
2023-07-01 10:40:46.418,0.17321789,0.024442763,297.6708827750663,0.003675391424830943
