time,shunt_voltage,voltage,temperature,current,seconds_combined,temperature_corr_err,temperature_uncorr
2023-07-01 14:02:01.536,1.7231237,0.24345811,298.002924989204,0.0365617781795111,12144.541,0.05523328612937025,297.9980193046176
2023-07-01 14:02:02.666,1.7229715,0.24377108,298.3579411438032,0.0365585487522571,12145.671,0.05523328612937025,298.3530363674236
2023-07-01 14:02:03.784,1.7226999,0.24406557,298.7113890006842,0.0365527858584186,12146.789,0.05523328612937025,298.70648512286675
2023-07-01 14:02:04.903,1.7224609,0.24432963,299.0277508476274,0.0365477146815873,12147.908,0.05523328612937025,299.02284786917573
2023-07-01 14:02:06.027,1.7222435,0.24456544,299.3109595676332,0.036543101820319,12149.032,0.05523328612937025,299.306057492566
2023-07-01 14:02:07.158,1.7220371,0.24477517,299.5648914192577,0.0365387223604949,12150.163,0.05523328612937025,299.5599902532011
2023-07-01 14:02:08.306,1.7218306,0.24497404,299.8073751505487,0.0365343407788394,12151.311,0.05523328612937025,299.80247490716584
2023-07-01 14:02:09.431,1.7216785,0.24514573,300.0128148480031,0.0365311134734166,12152.436,0.05523328612937025,300.0079155088084
2023-07-01 14:02:10.554,1.7215373,0.24530004,300.19817830793676,0.0365281174476066,12153.559,0.05523328612937025,300.19327987132283
2023-07-01 14:02:11.675,1.7213743,0.24543914,300.37071692480396,0.0365246588625711,12154.68,0.05523328612937025,300.36581938916333
2023-07-01 14:02:12.803,1.7212656,0.24556845,300.52465196875136,0.0365223524319369,12155.808,0.05523328612937025,300.5197553397101
2023-07-01 14:02:13.935,1.7211787,0.24568473,300.6614507591791,0.0365205085605284,12156.94,0.05523328612937025,300.6565550399521
2023-07-01 14:02:15.059,1.7210592,0.24578905,300.79050167441466,0.0365179729721127,12158.064,0.05523328612937025,300.7856068585721
2023-07-01 14:02:16.181,1.7209722,0.24588577,300.90655526415514,0.0365161269788729,12159.186,0.05523328612937025,300.9016613500896
2023-07-01 14:02:17.309,1.7208745,0.24596944,301.0103727018853,0.0365140539496828,12160.314,0.05523328612937025,301.0054796944191
2023-07-01 14:02:18.431,1.7208201,0.24604986,301.1041637194116,0.0365128996734501,12161.436,0.05523328612937025,301.0992716137224
2023-07-01 14:02:19.550,1.7207332,0.2461194,301.1913354820794,0.0365110558020416,12162.555,0.05523328612937025,301.18644427575606
2023-07-01 14:02:20.675,1.7206571,0.2461846,301.27225815066316,0.0365094410884145,12163.68,0.05523328612937025,301.267367848528
2023-07-01 14:02:21.795,1.7206463,0.24625089,301.3444083847643,0.036509211930633,12164.8,0.05523328612937025,301.3395189827987
2023-07-01 14:02:22.933,1.7205702,0.24629979,301.4080064639521,0.036507597217006,12165.938,0.05523328612937025,301.40311797662315
2023-07-01 14:02:24.058,1.7205159,0.24635521,301.47522641425695,0.0365064450626046,12167.063,0.05523328612937025,301.4703388311161
2023-07-01 14:02:25.188,1.7204507,0.24639868,301.53139991695565,0.0365050616285904,12168.193,0.05523328612937025,301.5265132420216
2023-07-01 14:02:26.316,1.7204181,0.24644106,301.5814508458467,0.0365043699115832,12169.321,0.05523328612937025,301.57656507751204
2023-07-01 14:02:27.443,1.7203638,0.24648018,301.63134361530877,0.0365032177571818,12170.448,0.05523328612937025,301.62645875276974
2023-07-01 14:02:28.572,1.720342,0.24651496,301.67166792500797,0.0365027551979562,12171.577,0.05523328612937025,301.66678396987203
2023-07-01 14:02:29.696,1.7203203,0.24655299,301.71543613853316,0.0365022947605619,12172.701,0.05523328612937025,301.71055308678166
2023-07-01 14:02:30.826,1.720266,0.24658125,301.7537827632057,0.0365011426061605,12173.831,0.05523328612937025,301.748900619661
2023-07-01 14:02:31.949,1.7202442,0.24660841,301.7860045233334,0.0365006800469349,12174.954,0.05523328612937025,301.78112328236944
2023-07-01 14:02:33.076,1.7202334,0.24663667,301.81771960870617,0.0365004508891534,12176.081,0.05523328612937025,301.81283927353786
2023-07-01 14:02:34.196,1.7201899,0.24666166,301.8509450702646,0.0364995278925334,12177.201,0.05523328612937025,301.8460656352658
2023-07-01 14:02:35.326,1.720179,0.24668665,301.8791979069996,0.0364992966129206,12178.331,0.05523328612937025,301.8743193802076
2023-07-01 14:02:36.444,1.7201682,0.2467073,301.90281787388324,0.0364990674551391,12179.449,0.05523328612937025,301.8979402456534
2023-07-01 14:02:37.563,1.7201356,0.24672903,301.9309148627478,0.036498375738132,12180.568,0.05523328612937025,301.92603813388376
2023-07-01 14:02:38.687,1.7201356,0.24674533,301.9482586735646,0.036498375738132,12181.692,0.05523328612937025,301.9433828480851
2023-07-01 14:02:39.807,1.7200921,0.24676381,301.9745629045094,0.0364974527415121,12182.812,0.05523328612937025,301.9696879791994
2023-07-01 14:02:40.936,1.7200813,0.2467812,301.99471610988775,0.0364972235837306,12183.941,0.05523328612937025,301.98984209198085
2023-07-01 14:02:42.069,1.7200595,0.2467975,302.0153893109175,0.036496761024505,12185.074,0.05523328612937025,302.0105162036286
2023-07-01 14:02:43.191,1.7200487,0.24681271,302.0332235004311,0.0364965318667235,12186.196,0.05523328612937025,302.0283512949192
2023-07-01 14:02:44.317,1.7200052,0.2468301,302.0583716507147,0.0364956088701036,12187.322,0.05523328612937025,302.0535003501947
2023-07-01 14:02:45.440,1.7200378,0.2468464,302.0707384740336,0.0364963005871107,12188.445,0.05523328612937025,302.0658680760943
2023-07-01 14:02:46.567,1.7200269,0.24685944,302.0862794046117,0.0364960693074979,12189.572,0.05523328612937025,302.081409912468
