time,voltage,current,shunt_voltage,temperature,temperature old
2024-06-06 13:35:20,0.151501662,0.0333507268333152,1.57178974,216.63943830142392,216.63943830142392
2024-06-06 13:35:24,0.151954453,0.0333406035761344,1.57131264,217.20867288696567,217.2096143043232
2024-06-06 13:35:29,0.152286279,0.0333341324150047,1.57100766,217.62065810444463,217.62277638579087
2024-06-06 13:35:33,0.152545102,0.0333296472879813,1.57079628,217.93917283221995,217.94223267854625
2024-06-06 13:35:37,0.152747516,0.0333255468489744,1.57060303,218.19124645229175,218.19524792914896
2024-06-06 13:35:41,0.153036506,0.0333224712544903,1.57045808,218.53706750542273,218.5420106783251
2024-06-06 13:35:45,0.153158074,0.0333184348947889,1.57026785,218.69644835591754,218.70233329034284
2024-06-06 13:35:50,0.153259432,0.03331388568846,1.57005345,218.83520783438556,218.8422700627364
2024-06-06 13:35:54,0.153349327,0.03331388568846,1.57005345,218.93715253939558,218.94515667645956
2024-06-06 13:35:58,0.153425948,0.0333122839180039,1.56997796,219.0323502051207,219.0412963162557
2024-06-06 13:36:02,0.15349714,0.0333109384647701,1.56991455,219.1199924395723,219.1298805900992
2024-06-06 13:36:07,0.15355898,0.0333089522184807,1.56982094,219.20008389069986,219.21114968226743
2024-06-06 13:36:11,0.153614184,0.0333080553203859,1.56977867,219.267072940193,219.2790809179884
2024-06-06 13:36:15,0.15371162,0.0333069659721912,1.56972733,219.38343311062303,219.396383339846
2024-06-06 13:36:19,0.153755058,0.033305236043124,1.5696458,219.44136553361966,219.4552580794325
2024-06-06 13:36:24,0.153793068,0.0333050438052074,1.56963674,219.48472357078134,219.49979410390884
2024-06-06 13:36:28,0.153831378,0.0333026092159621,1.569522,219.54052118279324,219.5565341789884
2024-06-06 13:36:32,0.153859131,0.0333011994712396,1.56945556,219.5788158883266,219.59577141262923
2024-06-06 13:36:36,0.15389895,0.0333008792868949,1.56944047,219.62516551075873,219.6430636281709
2024-06-06 13:36:41,0.153927004,0.0333004948110615,1.56942235,219.65814826542626,219.67722471557664
2024-06-06 13:36:45,0.153956567,0.0332993415957444,1.569368,219.69716590028284,219.7171850896584
2024-06-06 13:36:49,0.154013581,0.0333004307317559,1.56941933,219.75574788326523,219.7767098767443
2024-06-06 13:36:53,0.154041635,0.0332996617800891,1.56938309,219.79100580709502,219.8129106695176
2024-06-06 13:36:58,0.154062449,0.033298508564772,1.56932874,219.8197743202726,219.84285785999745
2024-06-06 13:37:02,0.154082661,0.0332975475873717,1.56928345,219.84707248143675,219.8710990358548
2024-06-06 13:37:06,0.154104682,0.0332979959303275,1.56930458,219.86897381837522,219.89394345220143
2024-06-06 13:37:10,0.154126401,0.0332972912701494,1.56927137,219.89664120808789,219.92255398599863
2024-06-06 13:37:14,0.154142389,0.0332956254203878,1.56919286,219.92284241764443,219.94969840427723
2024-06-06 13:37:18,0.154161394,0.0332961378426492,1.56921701,219.94094998296177,219.9687492429153
2024-06-06 13:37:23,0.154181303,0.0332962660012603,1.56922305,219.9618944893369,219.99087293172389
2024-06-06 13:37:27,0.154205134,0.0332952409445544,1.56917474,219.99368448777665,220.02360634868876
2024-06-06 13:37:31,0.154221122,0.0332950487066377,1.56916568,220.0120739854435,220.0429393293525
2024-06-06 13:37:35,0.154244953,0.0332953691031655,1.56918078,220.03672726604,220.06853615737828
2024-06-06 13:37:39,0.154257925,0.0332947283101098,1.56915058,220.05404282750376,220.08679533066436
2024-06-06 13:37:43,0.154273913,0.0332956254203878,1.56919286,220.06665133932316,220.10034751865976
2024-06-06 13:37:48,0.154281756,0.033292806143126,1.56905999,220.0894201510021,220.12429601599567
2024-06-06 13:37:52,0.154292314,0.0332921014829479,1.56902678,220.10431187653063,220.140131562351
2024-06-06 13:37:56,0.154305889,0.0332919733243367,1.56902074,220.11959944905396,220.1563630199259
2024-06-06 13:38:00,0.15431524,0.0332921655622534,1.5690298,220.12834697545108,220.1660544955593
2024-06-06 13:38:05,0.154345104,0.0332942156756653,1.56912642,220.1504907783181,220.18937832517088
2024-06-06 13:38:09,0.154353249,0.0332933828568761,1.56908717,220.1632996188085,220.2031312591673
2024-06-06 13:38:13,0.154370142,0.0332935110154872,1.56909321,220.18102628574556,220.22180208366504
2024-06-06 13:38:17,0.154377382,0.0332930624603482,1.56907207,220.1907583175491,220.2324783370436
2024-06-06 13:38:22,0.154384923,0.0332919733243367,1.56902074,220.20400227409388,220.2469026605159
2024-06-06 13:38:26,0.154394878,0.0332912043726699,1.5689845,220.218547674805,220.26239242668672
2024-06-06 13:38:30,0.154407548,0.0332919092450312,1.56901772,220.22837302047427,220.2731622016985
2024-06-06 13:38:34,0.154412978,0.0332907558175309,1.56896336,220.2397780256068,220.28551170001583
2024-06-06 13:38:39,0.154427759,0.0332912684519755,1.56898752,220.2528067192197,220.2997210998257
2024-06-06 13:38:43,0.154438619,0.0332903074745751,1.56894223,220.26941099722785,220.31727001451435
2024-06-06 13:38:47,0.154452495,0.0332910762140588,1.56897846,220.28027748918177,220.3290812068582
2024-06-06 13:38:51,0.1544534,0.0332898589194361,1.56892109,220.28683989206917,220.33658837380383
2024-06-06 13:38:55,0.154463355,0.0332908839761421,1.5689694,220.29185137798197,220.34254468740207
2024-06-06 13:39:00,0.154470896,0.0332909480554476,1.56897242,220.2989689363945,220.3508433698342
2024-06-06 13:39:04,0.15447874,0.033291332531281,1.56899054,220.30496657600716,220.35778598014247
2024-06-06 13:39:08,0.154483868,0.0332904356331862,1.56894827,220.31466459950087,220.3684290378245
