num,datetime,is_corrected,temp,temp_err,thermal_cond,thermal_cond_err,thermal_diff,thermal_diff_err,tau_min,tau_max,tau_max_limit,mean_power
001,2024-03-05 19:27:58,False,124.02119261086202,0.6926964768047275,0.0012820206567362052,7.776264347671811e-05,1.6702230672214668e-08,4.8598360325246466e-09,1.9599778199279128,3.1151237568605072,24.748737341529164,0.0014625899281572976
002,2024-03-06 09:35:21,False,157.48538236885565,0.6002304581663044,0.002581970782040253,0.0002025012012209609,3.2879164012888254e-08,1.2468541454855334e-08,2.0272877204805027,3.553251888193277,24.748737341529164,0.001978357137484046
003,2024-03-06 22:46:10,False,162.04199351507236,0.5560132571171714,0.0030009317045977613,0.0002716871951288549,3.8968847292646876e-08,1.6877669144711322e-08,2.0131468198905105,3.564245252140049,24.748737341529164,0.0020445155243028314
004,2024-03-07 16:08:48,False,176.2165291516746,0.44626664255702064,0.003538473771871078,0.0005430898792694419,4.862803101110959e-08,3.420670924620631e-08,1.9600036861898138,3.095112616559951,24.748737341529164,0.002266285524911465
005,2024-03-08 08:24:08,False,202.29912421789598,0.39998384909677354,0.006708131143331734,0.0017195273800449619,1.2919895515879714e-07,1.3761733936164982e-07,2.064840313496495,3.7526905164573443,24.748737341529164,0.002612202417675385
006,2024-03-08 20:29:55,False,212.22469240420838,0.35573948995859983,0.008293483406805356,0.0025840122465118145,1.5683643971720127e-07,1.9653181852016063e-07,2.132664237942494,3.7985460973881198,24.748737341529164,0.002749253893801102
007,2024-03-09 11:49:25,False,215.7780073309862,0.25325061111637137,0.008563733287583081,0.008884762351896947,2.666653447439762e-07,9.215678745849431e-07,2.129157312329832,2.828420114183762,24.748737341529164,0.002808357977053578
008,2024-03-09 15:20:31,False,228.97909545799234,0.4022216316745051,0.011477279891386978,0.002032139015709112,1.0017754352848827e-07,7.871574096224303e-08,2.051208626199809,4.15096825896079,24.748737341529164,0.003939869608920874
009,2024-03-09 19:41:18,False,236.0631048556341,0.2727920897497443,0.029933273766940414,0.012354651306826038,5.48248295760703e-07,7.707161190525336e-07,2.221313724318635,4.055545447017095,24.748737341529164,0.007279689012331075
010,2024-03-10 09:52:53,False,245.70108053969795,1.6171865487839603,0.005035546259346452,0.00011002262877552134,9.158030492995595e-09,8.368448722739871e-10,1.9959316783029133,5.0339120348014434,24.748737341529164,0.007467807805998911
011,2024-03-10 21:23:03,False,251.68657401129988,0.4151530171599103,0.0034079165159006776,0.0005223159393062107,5.511332189152275e-09,5.421959761369497e-09,1.9613540904253592,2.4655626953364944,24.748737341529164,0.003235691588145046
012,2024-03-11 06:23:45,False,266.74106126791946,1.3752551215082822,0.002288332867789184,6.560593834048431e-05,6.657357040598321e-09,9.456973962462068e-10,2.141709364263098,4.40977776260751,24.748737341529164,0.003408335216958768
013,2024-03-11 15:24:01,False,277.98549395690554,1.5747881450391883,0.002291239039671933,6.633275001383447e-05,6.7864424554911235e-09,9.219448169049666e-10,1.9598791875541657,4.412516674733823,24.748737341529164,0.0035346068003623307
014,2024-03-12 00:26:52,False,293.9944558227853,1.527509837295403,0.002423203161357112,7.055972839432955e-05,6.240036914333159e-09,8.759071917222413e-10,2.0046405595094985,4.410944921316836,24.748737341529164,0.0037053955754191162
015,2024-03-12 09:27:40,False,315.4776461091491,1.5612648313372872,0.002871827166225019,8.534522976360302e-05,8.452760059921922e-09,1.236689455004418e-09,1.9546476785049292,4.781706386018363,24.748737341529164,0.003941037459427065
016,2024-03-12 18:33:37,False,332.8369958761006,1.5089915780168182,0.002924076952565202,9.090862073499114e-05,6.8046383574163145e-09,1.0636837318537782e-09,1.9814833666294585,4.525700106704277,24.748737341529164,0.004107892676428249
017,2024-03-13 03:37:16,False,348.4371107684693,1.3932961168233426,0.0033724882583452288,0.00010982150414752897,8.902369276453193e-09,1.5457682843109691e-09,2.0949625422167872,4.807343407920063,24.748737341529164,0.004262130173849322
018,2024-03-13 12:42:33,False,360.4307626214837,1.3946376578591138,0.0034370811153273183,0.00011796013809640133,7.848590729559534e-09,1.431126308121784e-09,2.026033798227373,4.591439284102198,24.748737341529164,0.004370459014883255
019,2024-03-13 22:14:36,False,374.64762389778406,1.2591767131134648,0.003796091502276426,0.00015348420453921476,8.535998211946105e-09,1.9704890049339466e-09,2.1309976651219795,4.600080387060035,24.748737341529164,0.004500400620334857
020,2024-03-14 09:42:16,True,383.3576414509187,1.4844492157933789,0.003909632781055438,0.00015087671572274933,8.540285220922752e-09,1.911616235355489e-09,2.1073557637190334,4.906634695774818,24.748737341529164,0.0045731607610449395
021,2024-03-14 20:59:05,False,328.0287950144478,1.616508188012387,0.0028250791239129254,8.119174363259227e-05,7.33165805213527e-09,1.038766769010009e-09,1.9730966589814671,4.762018306900383,24.748737341529164,0.004060148606854895
022,2024-03-15 05:59:44,False,273.6405085370107,1.6826943410072084,0.0021473244749693923,5.6255106067480085e-05,7.44998682633166e-09,9.104678340466345e-10,2.0205426946317537,4.688807004399384,24.748737341529164,0.003476775346554787
023,2024-03-15 15:00:21,False,235.59745573299233,1.290366312846543,0.0017954357154197776,6.241654378510479e-05,8.27193790457068e-09,1.3720687507554924e-09,2.061983531202257,3.7741591211382053,24.748737341529164,0.0030295777336228195
024,2024-03-16 00:01:08,False,211.43327652861282,1.7026076972998736,0.0015978276823386934,4.2417921086232586e-05,9.416499926596368e-09,1.0903092645162115e-09,1.9648829405093096,4.497403900288365,24.748737341529164,0.002720003892607462
025,2024-03-16 09:02:16,False,195.41821980362164,2.017482722412582,0.0014603272755016768,2.9452919305689524e-05,1.0365627782766806e-08,9.003633565001719e-10,2.048921485079542,5.55410733435302,24.748737341529164,0.0025006693347078275
026,2024-03-16 17:17:13,False,184.76385776379664,1.632212665863618,0.0013782134324883514,3.800493948444351e-05,1.0700136253592835e-08,1.267656158397029e-09,1.962663764197378,4.3445414431603435,24.748737341529164,0.0023615568649277036
027,2024-03-18 07:11:00,False,175.22192029729746,1.5771646758280349,0.0012937924679390774,3.661062670306317e-05,1.0916091619325154e-08,1.3227255111809448e-09,1.9685559491313498,4.228540891661638,24.748737341529164,0.002228513988458468
028,2024-03-21 09:14:10,True,159.5776508357936,0.5467126803264926,0.001232691973066933,0.0001546773900790988,1.4208976398791932e-08,1.090071776270919e-08,2.122320785936245,3.782649763536597,24.748737341529164,0.000577248564624662
029,2024-03-22 07:41:33,False,159.97817778368238,0.6447088319304393,0.0011148906379529846,7.614718227774433e-05,8.379911209796462e-09,3.6167061829503894e-09,2.0753973985324787,4.2751124369501765,24.748737341529164,0.0005779840694360965
031,2024-04-04 12:02:27,False,309.80596418649316,0.2537879050371219,0.1765941970295908,0.018219283087039823,1.016117210526365e-06,5.513985553105522e-07,6.213892017085739,14.219962197374036,24.748737341529164,0.03656608572921362
032,2024-04-04 15:06:01,False,309.8739930792528,0.24886309409206847,0.18510293225689858,0.019313670888596236,1.2083419678803252e-06,6.761458371477824e-07,6.686452931979109,15.700374563926378,24.748737341529164,0.036593600237515525
