num,datetime,is_corrected,temp,temp_err,thermal_cond,thermal_cond_err,thermal_diff,thermal_diff_err,tau_min,tau_max,mean_power,tau_max_limit
201,2024-06-14 18:54:50,True,115.88481825978896,1.0094302405016675,0.0023076764368715,0.0001575369981248,4.294937963993985e-08,1.3883535556256424e-08,1.9877985126451987,4.082200301344443,0.0013624437414563,24.748737341529164
202,2024-06-14 21:20:11,True,133.43227718200814,1.1183054268821495,0.002564362040084,0.000119392924632,5.363921622954554e-08,1.2230883025176821e-08,2.2214427503580167,5.3519474461710965,0.0016310950850352,24.748737341529164
203,2024-06-15 09:23:38,True,151.729809075817,0.6328402452398468,0.0046890854929334,0.0003280005613695,1.1250376203120225e-07,3.30034304269452e-08,2.2749006689161844,4.229432368883696,0.0036210228317368,24.748737341529164
204,2024-06-15 21:07:20,True,151.4935174622099,0.3930618165674127,0.0045237473372281,0.0006838978021854,8.72773545494366e-08,5.3524110413069744e-08,2.0889872492362964,2.9690087250618,0.0036184137018488,24.748737341529164
205,2024-06-16 06:07:22,True,153.3278741044367,0.5405646757845237,0.0050131681013007,0.0004409208870402,1.3797536755837264e-07,5.12728864484775e-08,2.519298892089849,4.299848747667984,0.0036696519337359,24.748737341529164
206,2024-06-16 15:07:20,True,155.6646277939559,0.5725639674126053,0.004864228226922,0.0004342226128169,1.1499318058723673e-07,4.0962447503713977e-08,2.0903925139348813,3.683638867925836,0.0037421507867458,24.748737341529164
207,2024-06-17 00:07:26,True,159.04536548313234,0.5768242011435669,0.0052686230460387,0.0004439816887627,1.5548787796435469e-07,5.486403029364947e-08,2.5248768279935043,4.478608741272423,0.0038403421261398,24.748737341529164
208,2024-06-17 09:07:26,True,163.69792343092234,0.3473463963304467,0.0054776931839148,0.0010864292576895,1.9034168868900898e-07,1.5629426532511008e-07,2.95900619798175,3.998587481833648,0.0039763089387638,24.748737341529164
209,2024-06-17 18:07:32,True,166.20237404901792,0.4959718822852614,0.0048331602650928,0.00056616059337,1.314500629788909e-07,6.077064001800804e-08,2.234972571016891,3.496406134452468,0.0040475506483778,24.748737341529164
210,2024-06-18 03:07:37,True,170.25069123858222,0.4661407960412116,0.0048223391212144,0.0006317062491904,1.4207612847332198e-07,7.50674816756462e-08,2.471694464199174,3.615384325289032,0.0041642811955222,24.748737341529164
211,2024-06-18 12:07:37,True,174.5288349973403,0.4714170229770027,0.0043132077726598,0.0006195795941303,9.434167961762237e-08,5.2128367258543364e-08,1.966725416605612,2.7982779362069548,0.0042816233706841,24.748737341529164
212,2024-06-18 21:07:44,True,178.37060814910927,0.4758870120589189,0.0046522662255508,0.0006323486929293,1.157274702941571e-07,6.213750928368764e-08,2.204666358512008,3.2093215569930007,0.0043887092731298,24.748737341529164
213,2024-06-19 06:07:49,True,183.2374899783944,0.3872228325409851,0.005002633049191,0.0010638994666713,1.0955829739638644e-07,8.827023996925284e-08,2.040395868713394,2.729462258935682,0.0045228807380151,24.748737341529164
214,2024-06-19 15:07:43,True,186.0509143490549,0.4058957817527329,0.006828535481272,0.0011405775175687,3.748665236831205e-07,2.6095768172586e-07,3.570078683338239,5.302356954811137,0.0045928720700777,24.748737341529164
215,2024-06-20 00:07:46,True,189.6264774545425,0.3773754805370722,0.0078198122931732,0.0014945770836604,4.17938312248076e-07,3.281726316507564e-07,3.5409249310656503,5.3310229068040185,0.0046909678707059,24.748737341529164
216,2024-06-20 09:07:51,True,192.3175287357653,0.4386606262349618,0.007306812262151,0.0012543040544726,1.875938434263892e-07,1.192176508561e-07,2.16560524695978,3.437791752835317,0.004760062675118,24.748737341529164
217,2024-06-20 18:07:48,True,194.51707593396952,0.405141657904873,0.008206568406417,0.0016563521522948,2.825504005421797e-07,2.175006577476474e-07,2.65777350682004,4.0829491341417175,0.0048182723104323,24.748737341529164
218,2024-06-21 03:07:48,True,197.4998565860756,0.419501608113866,0.0080597921346289,0.0015130827470433,2.083839388920027e-07,1.403310826615084e-07,2.0919040887985414,3.35450930840386,0.0048962997499647,24.748737341529164
219,2024-06-21 12:07:51,True,201.2649397890958,0.4513508524661861,0.0095867506131538,0.001630778130797,3.032883904153685e-07,1.887603624309751e-07,2.270661277483118,4.084221036237543,0.0050012397510376,24.748737341529164
221,2024-06-22 06:07:58,True,214.32324915077555,0.3558529720970906,0.0172985613225021,0.0048644183097001,5.905581812592531e-07,5.735212045879218e-07,2.1735835502860303,4.414569059552172,0.0053296718043,24.748737341529164
222,2024-06-22 15:07:50,True,220.21839517737703,0.2713821689251061,0.0184056045385593,0.0078175433825358,3.9226293844672413e-07,5.670593456837211e-07,2.1695979492432897,3.5978711717822662,0.0054640450495085,24.748737341529164
224,2024-06-23 09:08:02,True,234.89787413609807,0.5230911570372989,0.0420735339719044,0.0063631843840694,4.975853546191556e-08,4.2934507807830415e-08,2.285748503991884,5.850971919074462,0.0058218906332404,24.748737341529164
226,2024-06-24 03:08:00,True,243.75302935972746,0.2698871168729466,0.02286752019549443,0.0033239820767385787,6.604966342773436e-09,6.480655997151399e-09,2.3568573767354826,2.9516013630092663,0.011575736623049733,24.748737341529164
227,2024-06-24 07:17:00,True,250.0798847354461,1.9426814917443336,0.0109737816936724,0.0001962361669553,2.2717889937801583e-08,1.757145060041095e-09,1.970979243767948,6.979051226824932,0.0143890464780621,24.748737341529164
