num,datetime,is_corrected,temp,temp_err,thermal_cond,thermal_cond_err,thermal_diff,thermal_diff_err,tau_min,tau_max,tau_max_limit,mean_power
002,2024-05-08 22:04:56,True,142.35847156196638,0.37463529281158503,0.009470909496855848,0.0013471844540878662,2.6467307137709756e-07,1.262930719497016e-07,2.121188867925404,3.171368271319133,24.748737341529164,0.0064218201794260235
004,2024-05-09 02:34:59,True,143.94039246470612,0.2850096473022266,0.010819437542494753,0.0020855521741752177,4.6643590528211444e-07,2.8771849613791357e-07,2.3658467539943016,3.1297210755791647,24.748737341529164,0.007925224878942193
006,2024-05-09 07:04:59,True,145.49932226228637,0.5864062742009889,0.011181989400698878,0.0008909252095388873,4.7562796541926697e-07,1.2535081188125384e-07,2.068973583391872,4.021361812154568,24.748737341529164,0.008042144098808369
008,2024-05-09 16:04:58,True,147.63810627957622,0.4824939421321698,0.012624486069363708,0.0010675003375837727,5.865982891086109e-07,1.818292088047571e-07,2.7614810805819294,4.9635801738827245,24.748737341529164,0.008168160112535659
009,2024-05-09 20:34:59,True,148.92090804588622,0.6465590391968127,0.015966848975551833,0.0009433997916941867,2.4448951573975954e-06,6.110485436111481e-07,3.1272321035686463,8.982290364607495,24.748737341529164,0.008278961414273813
011,2024-05-10 05:34:59,True,152.49309394471237,0.784696718954367,0.015835406951421407,0.0007731700833335748,1.4862889152211882e-06,2.915535364207122e-07,2.438268988623846,8.268572434234017,24.748737341529164,0.008513387043683759
012,2024-05-10 10:05:04,True,156.4639387950039,0.4809208259560744,0.011301221085625951,0.00122328317501276,3.156870754917747e-07,1.1057320256183714e-07,2.025816374055919,3.276180789687947,24.748737341529164,0.008772911114363393
013,2024-05-10 14:35:07,True,156.64710091784266,0.627300733723569,0.0160910299337801,0.0010154866093457734,1.869389206512429e-06,4.811922114645971e-07,3.057277552425057,7.972404469256597,24.748737341529164,0.008782297443319998
014,2024-05-10 19:05:09,True,157.7253763435874,0.32732328252619736,0.012194189831881391,0.0018338805843260834,3.2665433062020924e-07,1.6639722094164582e-07,2.356506656163644,3.3326036729690967,24.748737341529164,0.008838902259874312
015,2024-05-10 23:35:09,True,159.35763696145457,0.6427387657900183,0.018998551513248245,0.0011026936291604929,4.309453851149541e-06,1.1925109013988448e-06,4.151844819426439,12.62734304960996,24.748737341529164,0.008962155486398355
016,2024-05-11 04:05:13,True,161.0698578814899,0.6265072346016558,0.018101421475574832,0.0012253737545592593,2.5229113965626165e-06,7.212699120484737e-07,3.1767350513145516,8.699847234111557,24.748737341529164,0.00908292752273089
018,2024-05-11 13:05:18,True,164.94409348274996,0.63943775921588,0.016863433163294958,0.001288264194265361,1.301396717256468e-06,3.604568713590362e-07,2.2815755234104946,5.703938808526236,24.748737341529164,0.00934606227059668
019,2024-05-11 17:35:22,True,166.9806371335327,0.3350184571178908,0.014217733338888278,0.002355743302902856,4.6808567178482645e-07,2.5411834490569716e-07,2.3700270170227844,3.420839340661976,24.748737341529164,0.009471593334658867
020,2024-05-11 22:05:19,True,169.26303656156114,0.5974180024256146,0.020769788041979906,0.001339355112816921,6.97505405072457e-06,2.3118261379918848e-06,5.2820655242905,15.17157815370276,24.748737341529164,0.009626211237287928
021,2024-05-12 02:35:19,True,171.541576862186,0.4604899990470811,0.012947428159358008,0.001575804089045545,5.975802676554836e-07,2.3068243482826313e-07,2.1864679602600785,3.542482973955578,24.74873734152916,0.009813358455012914
022,2024-05-12 07:05:26,True,175.5206674862525,0.45516558928650686,0.008700071723744955,0.0011477481946937178,2.9203704064112164e-07,1.2404055559224723e-07,2.1616180629930777,2.9101673798241445,24.748737341529164,0.010151924848427052
026,2024-05-13 01:37:49,True,177.04416888929057,0.3086905168509333,0.004774137217331367,0.0018101151537306278,1.7860465160231336e-07,2.489387577840081e-07,2.2758591556744205,2.9883494742274817,24.748737341529164,0.00299579561347582
