time,sample_holder_res,exhaust_res,ths_voltage,ths_current,shunt_voltage,none
2023-10-13 12:58:53-13:00,1002.08773,9.900000000000001e+37,0.0222522119,-0.00448542887,0.173855988,
2023-10-13 12:58:55-13:00,1002.08416,9.900000000000001e+37,0.0222508557,-0.00448422682,0.17385629,
2023-10-13 12:58:57-13:00,1002.05882,9.900000000000001e+37,0.0222543515,-0.00448272427,0.17385991,
2023-10-13 12:58:59-13:00,1002.04302,9.900000000000001e+37,0.0222527242,-0.00447881762,0.173815868,
2023-10-13 12:59:00-13:00,1002.00249,9.900000000000001e+37,0.0222524228,-0.00449083807,0.173909985,
2023-10-13 12:59:02-13:00,1001.96344,9.900000000000001e+37,0.0222519708,-0.00449053755,0.173849955,
2023-10-13 12:59:04-13:00,1001.92022,9.900000000000001e+37,0.0222550748,-0.0044863304,0.173834571,
2023-10-13 12:59:06-13:00,1001.88446,9.900000000000001e+37,0.0222534474,-0.004489035,0.173851765,
2023-10-13 12:59:07-13:00,1001.85197,9.900000000000001e+37,0.0222561898,-0.00448302478,0.173862022,
2023-10-13 12:59:09-13:00,1001.84184,9.900000000000001e+37,0.0222575157,-0.00448302478,0.173883741,
2023-10-13 12:59:11-13:00,1001.8323,9.900000000000001e+37,0.0222566117,-0.0044863304,0.173867753,
2023-10-13 12:59:13-13:00,1001.82485,9.900000000000001e+37,0.0222555268,-0.0044836258,0.173883138,
2023-10-13 12:59:14-13:00,1001.81173,9.900000000000001e+37,0.0222573048,-0.00448663091,0.17391451,
2023-10-13 12:59:16-13:00,1001.79862,9.900000000000001e+37,0.0222539899,-0.00449023704,0.173860212,
2023-10-13 12:59:18-13:00,1001.82365,9.900000000000001e+37,0.0222597759,-0.00448392631,0.173890076,
2023-10-13 12:59:20-13:00,1001.79385,9.900000000000001e+37,0.0222559487,-0.00448242376,0.173882836,
2023-10-13 12:59:21-13:00,1001.78342,9.900000000000001e+37,0.0222607704,-0.00448272427,0.173885551,
2023-10-13 12:59:23-13:00,1001.7858,9.900000000000001e+37,0.0222620662,-0.00448572938,0.173888869,
