time,pressure
2024-05-30 12:56:35,
2024-05-30 13:06:35,4.0E-1
2024-05-30 13:16:36,3.0E-1
2024-05-30 13:26:37,2.2E-1
2024-05-30 13:36:38,1.9E-1
2024-05-30 13:46:38,1.6E-1
2024-05-30 13:56:39,1.6E-1
2024-05-30 14:06:39,1E3
2024-05-30 14:16:40,1E3
2024-05-30 14:26:40,1E3
2024-05-30 14:36:40,1E3
2024-05-30 14:46:41,1E3
2024-05-30 14:56:41,1E3
2024-05-30 15:06:42,1.0E1
2024-05-30 15:16:43,1.0E1
2024-05-30 15:26:43,1.0E1
2024-05-30 15:36:44,1.0E1
2024-05-30 15:46:44,1.0E1
2024-05-30 15:56:45,1.0E1
2024-05-30 16:06:46,1.0E1
2024-05-30 16:16:46,1.0E1
2024-05-30 16:26:47,1.0E1
2024-05-30 16:36:47,1.0E1
2024-05-30 16:46:48,1.0E1
2024-05-30 16:56:49,1.0E1
2024-05-30 17:06:50,6.3E0
2024-05-30 17:15:25,
2024-05-30 17:25:26,3.4E-5
2024-05-30 17:35:26,3.0E-5
2024-05-30 17:45:26,4.6E-5
2024-05-30 17:55:26,3.4E-5
2024-05-30 18:05:27,3.4E-5
2024-05-30 18:15:28,3.0E-5
2024-05-30 18:25:28,
2024-05-30 18:35:29,
2024-05-30 18:45:30,
2024-05-30 18:55:30,
2024-05-30 19:05:30,
2024-05-30 19:15:31,1.6E-4
2024-05-30 19:25:32,
2024-05-30 19:35:32,
2024-05-30 19:45:33,
2024-05-30 19:55:33,
2024-05-30 20:05:34,
2024-05-30 20:15:34,2.2E-5
2024-05-30 20:25:35,
2024-05-30 20:35:35,
2024-05-30 20:45:36,
2024-05-30 20:55:36,
2024-05-30 21:05:37,
2024-05-30 21:15:37,3.0E-5
2024-05-30 21:25:37,
2024-05-30 21:35:37,
2024-05-30 21:45:38,
2024-05-30 21:55:39,
2024-05-30 22:05:39,
2024-05-30 22:15:39,2.2E-5
2024-05-30 22:25:39,
2024-05-30 22:35:40,
2024-05-30 22:45:40,
2024-05-30 22:55:41,
2024-05-30 23:05:41,
2024-05-30 23:15:41,2.2E-5
2024-05-30 23:25:42,
2024-05-30 23:35:42,
2024-05-30 23:45:42,
2024-05-30 23:55:43,
2024-05-31 00:05:44,
2024-05-31 00:15:44,2.5E-5
2024-05-31 00:25:45,
2024-05-31 00:35:46,
2024-05-31 00:45:46,
2024-05-31 00:55:47,
2024-05-31 01:05:48,
