time,pressure
2024-06-14 18:21:34,8.6E-1
2024-06-14 18:31:35,1.2E-4
2024-06-14 18:41:35,1.4E-4
2024-06-14 18:51:35,5.4E-5
2024-06-14 19:01:36,3.4E-5
2024-06-14 19:11:37,1.4E-4
2024-06-14 19:21:37,4.0E-5
2024-06-14 19:31:38,
2024-06-14 19:41:39,
2024-06-14 19:51:39,
2024-06-14 20:01:39,
2024-06-14 20:11:39,
2024-06-14 20:21:40,1.4E-4
2024-06-14 20:31:40,
2024-06-14 20:41:41,
2024-06-14 20:51:41,
2024-06-14 21:01:42,
2024-06-14 21:11:42,
2024-06-14 21:21:42,1.0E-4
2024-06-14 21:31:43,
2024-06-14 21:41:44,
2024-06-14 21:51:45,
2024-06-14 22:01:45,
2024-06-14 22:11:46,
2024-06-14 22:21:47,1.2E-4
2024-06-14 22:31:47,
2024-06-14 22:41:48,
2024-06-14 22:51:49,
2024-06-14 23:01:49,
2024-06-14 23:11:50,
2024-06-14 23:21:51,3.0E-5
2024-06-14 23:31:51,
2024-06-14 23:41:52,
2024-06-14 23:51:52,
2024-06-15 00:01:53,
2024-06-15 00:11:54,
2024-06-15 00:21:55,7.4E-5
2024-06-15 00:31:55,
2024-06-15 00:41:56,
2024-06-15 00:51:56,
2024-06-15 01:01:57,
2024-06-15 01:11:58,
2024-06-15 01:21:59,1.4E-4
2024-06-15 01:31:59,
2024-06-15 01:42:00,
2024-06-15 01:52:01,
2024-06-15 02:02:01,
2024-06-15 02:12:01,
2024-06-15 02:22:02,1.2E-4
2024-06-15 02:32:02,
2024-06-15 02:42:02,
2024-06-15 02:52:03,
2024-06-15 03:02:03,
2024-06-15 03:12:04,
2024-06-15 03:22:04,3.4E-5
2024-06-15 03:32:05,
2024-06-15 03:42:05,
2024-06-15 03:52:06,
2024-06-15 04:02:07,
2024-06-15 04:12:07,
2024-06-15 04:22:07,4.0E-5
2024-06-15 04:32:07,
2024-06-15 04:42:07,
2024-06-15 04:52:08,
2024-06-15 05:02:09,
2024-06-15 05:12:10,
2024-06-15 05:22:11,3.0E-5
2024-06-15 05:32:12,
2024-06-15 05:42:12,
2024-06-15 05:52:13,
2024-06-15 06:02:13,
2024-06-15 06:12:14,
2024-06-15 06:22:15,8.6E-5
2024-06-15 06:32:15,
2024-06-15 06:42:16,
2024-06-15 06:52:17,
2024-06-15 07:02:17,
2024-06-15 07:12:17,
2024-06-15 07:22:18,4.0E-5
2024-06-15 07:32:18,
2024-06-15 07:42:18,
2024-06-15 07:52:19,
2024-06-15 08:02:19,
2024-06-15 08:12:19,
2024-06-15 08:22:20,1.0E-4
2024-06-15 08:32:20,
2024-06-15 08:42:21,
2024-06-15 08:52:22,
2024-06-15 09:02:22,
2024-06-15 09:12:23,
2024-06-15 09:22:24,3.0E-5
2024-06-15 09:32:24,
2024-06-15 09:42:24,
2024-06-15 09:52:25,
2024-06-15 10:02:25,
2024-06-15 10:12:26,
2024-06-15 10:22:26,3.0E-5
2024-06-15 10:32:27,
2024-06-15 10:42:27,
2024-06-15 10:52:27,
2024-06-15 11:02:28,
2024-06-15 11:12:28,
2024-06-15 11:22:29,3.0E-5
2024-06-15 11:32:29,
2024-06-15 11:42:30,
2024-06-15 11:52:31,
2024-06-15 12:02:31,
2024-06-15 12:12:32,
2024-06-15 12:22:32,7.4E-5
2024-06-15 12:32:32,
2024-06-15 12:42:33,
2024-06-15 12:52:34,
2024-06-15 13:02:34,
2024-06-15 13:12:34,
2024-06-15 13:22:35,3.4E-5
2024-06-15 13:32:36,
2024-06-15 13:42:36,
2024-06-15 13:52:36,
2024-06-15 14:02:37,
2024-06-15 14:12:37,
2024-06-15 14:22:38,3.0E-5
