num,datetime,is_corrected,temp,temp_err,thermal_cond,thermal_cond_err,thermal_diff,thermal_diff_err,tau_min,tau_max,tau_max_limit,mean_power
001,2024-05-30 17:17:25,False,139.62362421372978,0.7819934879522983,0.0031587940132896,0.000120534828081,2.4874000995603067e-08,4.5319928878059754e-09,1.9824460036291744,4.65993592972709,24.748737341529164,0.0022617363341124
002,2024-05-31 04:03:08,False,142.1207105895636,0.4288501360035947,0.0047194159450817,0.0005487902448797,6.70896638303087e-08,3.2856105006660985e-08,1.9726126082325195,3.118974391590088,24.748737341529164,0.0031531718122825
003,2024-05-31 13:03:11,False,146.08202850301785,0.4695293736363132,0.0047169222854363,0.000457320574478,6.331956208505996e-08,2.6630016856361003e-08,2.059711304940335,3.3666306024311208,24.748737341529164,0.0032631625661187
004,2024-05-31 22:03:10,False,152.09895460925384,0.383955565137644,0.004610598053919,0.000643728022964,5.145837108268096e-08,3.1354297431343875e-08,1.964529926267623,2.824189709954972,24.748737341529164,0.0034361614146292
005,2024-06-01 07:03:13,False,155.38611708919365,0.4387992397617806,0.004854200621765,0.0005738197337602,6.157238133656102e-08,3.0948922721969105e-08,1.969532945701428,3.039055313824372,24.748737341529164,0.0035265728162378
006,2024-06-01 16:03:10,False,159.6606032834267,0.4414676634925434,0.0050117517959686,0.0005882785854913,6.546784044473808e-08,3.285848259122063e-08,2.030880091984384,3.144144383954949,24.748737341529164,0.0036435968188819
007,2024-06-02 01:03:15,False,163.00107989646744,0.3890214654417119,0.00518334398747,0.0006997929048967,6.665187672383458e-08,3.9146330359521465e-08,2.1289264001418067,3.140776616559592,24.748737341529164,0.0037343294979191
008,2024-06-02 10:03:13,False,166.80316294112177,0.431200570063238,0.0053074167371007,0.0006640427063246,6.478434513321508e-08,3.473332684482781e-08,2.020250910999064,3.096462995050293,24.748737341529164,0.0038390603148873
009,2024-06-02 19:03:11,False,170.991727698687,0.4657972294021608,0.0056337109665761,0.0006814153961333,7.737164000826886e-08,3.862970548636018e-08,1.9668711194212605,3.17148438449174,24.748737341529164,0.0039542909364533
010,2024-06-03 04:03:15,False,175.70746092209637,0.4091889306130658,0.005830334046069,0.0008673097466313,7.849492159632977e-08,4.8944670758466256e-08,2.077792262907468,3.0945727386429667,24.748737341529164,0.004074242848566
011,2024-06-03 13:03:19,False,178.9406154718497,0.4983026213409082,0.0060271789391228,0.000700740340674,9.009775615491933e-08,4.3916406066877637e-08,2.1224720982255496,3.474636574486487,24.748737341529164,0.004158396974501
012,2024-06-03 22:03:25,False,182.54567186713325,0.4244936818195725,0.0060704045961607,0.0008824775349857,9.582693047475209e-08,5.6984939219822084e-08,2.099532996129996,3.231893473143565,24.748737341529164,0.0042548856229961
013,2024-06-04 07:03:21,False,186.53169661296596,0.4425017618158312,0.0057680557324039,0.0008761088569158,9.189498630446665e-08,5.537404387514808e-08,1.964583779019769,2.985601056995604,24.748737341529164,0.0043609246608158
014,2024-06-04 16:03:28,False,190.3499246503265,0.5219050843021329,0.0056116050597926,0.0006705662162438,1.058909022245482e-07,5.1073341093975794e-08,2.108890204214298,3.412916530579132,24.748737341529164,0.0044568265084547
015,2024-06-05 01:03:31,False,194.3324757405929,0.5095520020498238,0.0053489299359893,0.0006921676780246,1.0708111798343913e-07,5.5555976719917366e-08,2.145807091349985,3.288646061273142,24.748737341529164,0.0045655967386175
016,2024-06-05 09:28:57,False,198.25619300686964,0.4693618389998916,0.0044672844756325,0.0009139735008321,8.672719874585405e-08,7.225130174542267e-08,2.103113676442278,2.84000519072843,24.748737341529164,0.0046618221321292
017,2024-06-05 19:35:26,False,205.48875636886956,0.594439636675533,0.0048594522811787,0.0005748712630413,1.0928440982655824e-07,5.004538695440488e-08,2.010851352930558,3.17083044391266,24.748737341529164,0.0048368787076487
018,2024-06-06 04:35:24,False,212.76037542847476,0.5236253221638529,0.0056537815845177,0.0008086915647109,1.123599821784732e-07,6.276334719516893e-08,2.0663202372289686,3.144467909155004,24.748737341529164,0.0050091385756436
019,2024-06-06 13:35:20,False,219.47791588698252,0.390831702220874,0.0069015571922524,0.00156464088133,9.805403877062493e-08,9.004146764862222e-08,2.146750992131917,2.9541173725134247,24.748737341529164,0.0051668698290219
020,2024-06-06 22:35:23,False,224.75403633861916,0.4978979224865414,0.0067519811169787,0.0008293107078825,5.3337083116236233e-08,2.8860830318244183e-08,1.959660680926422,3.0812336481821774,24.748737341529164,0.0052817737575864
021,2024-06-07 07:35:26,False,229.58145489582256,0.4981939636292036,0.0058858769253196,0.0005718644994136,2.5410383482948216e-08,1.2445317851388594e-08,2.120763512625072,3.103310384095889,24.748737341529164,0.0053873135430311
022,2024-06-07 16:35:31,False,234.4707184714001,1.0464804287913068,0.0047639457181678,0.0001553140807902,1.3162177271495661e-08,2.0267360534634234e-09,2.061888275026825,4.268073727543842,24.748737341529164,0.0054894892780437
023,2024-06-08 01:35:31,False,239.89327972475309,0.8953847267888029,0.003559304934401,0.0001556180811283,5.344210646020292e-09,1.123982932693802e-09,1.956132618855513,3.068631479713352,24.748737341529164,0.0055980026152707
024,2024-06-08 10:35:29,False,246.4485882292037,1.2389822676553437,0.0028942823923621,8.870774208874559e-05,3.941518359841737e-09,5.308295543233639e-10,2.0660746316889425,3.4484142575454184,24.748737341529164,0.0057242197956592
025,2024-06-08 19:35:30,False,259.15097644945115,1.047701943590059,0.0019135750097047,8.2609949508138e-05,3.478005793436574e-09,7.165286608365491e-10,2.0733584255230944,2.7025565981523507,24.748737341529164,0.0060049889761509
