time,voltage,current,shunt_voltage,temperature
2024-05-07 12:40:38,0.0784604391,0.025557261225018085,1.20449072,160.80670030771927
2024-05-07 12:40:42,0.0787026716,0.02555290425660579,1.20428538,161.18414356865617
2024-05-07 12:40:46,0.0789249946,0.02554713775565415,1.20401361,161.53876240879964
2024-05-07 12:40:50,0.0791138333,0.02554329363386952,1.20383244,161.83529009787537
2024-05-07 12:40:54,0.0792842709,0.02553983377573516,1.20366938,162.10296693230418
2024-05-07 12:40:58,0.0794405304,0.025535604965934,1.20347008,162.3533088302172
2024-05-07 12:41:03,0.0797105155,0.025534643988533622,1.20342479,162.7567811307548
2024-05-07 12:41:07,0.0798257494,0.02553086373387143,1.20324663,162.9445819472997
2024-05-07 12:41:11,0.0799301235,0.02552766019295934,1.20309565,163.11371626547174
2024-05-07 12:41:15,0.0800296711,0.02552509723291979,1.20297486,163.27278988288293
2024-05-07 12:41:19,0.0801162474,0.02552221408853553,1.20283898,163.41420183430108
2024-05-07 12:41:23,0.0801967904,0.02551997152502382,1.20273329,163.54374692596252
2024-05-07 12:41:32,0.0803449052,0.02551779304081767,1.20263062,163.7729783406618
2024-05-07 12:41:36,0.0804160968,0.025517472644289833,1.20261552,163.8797875966234
2024-05-07 12:41:40,0.080476127,0.02551471765851671,1.20248568,163.98144938577232
2024-05-07 12:41:44,0.0805874393,0.025514205024072173,1.20246152,164.14853816555407
2024-05-07 12:41:53,0.0806918134,0.025510681086632254,1.20229544,164.31946563724142
2024-05-07 12:41:57,0.080736459,0.02550939971270404,1.20223505,164.39153647879039
2024-05-07 12:42:01,0.0807823112,0.02550901523687064,1.20221693,164.46119745453916
2024-05-07 12:42:05,0.080820622,0.025508054259470263,1.20217164,164.52240329568662
2024-05-07 12:42:10,0.080861346,0.025508054259470263,1.20217164,164.58267720972736
2024-05-07 12:42:14,0.0808984501,0.02550664472693092,1.20210521,164.64421071910732
2024-05-07 12:42:18,0.0809672284,0.025506260251097517,1.20208709,164.74782108543673
2024-05-07 12:42:22,0.0809961877,0.025504850718558174,1.20202066,164.79731289937212
2024-05-07 12:42:30,0.0810634578,0.02550376137036353,1.20196932,164.90201931893571
2024-05-07 12:42:35,0.0810890988,0.025503313027407694,1.20194819,164.94208846350057
2024-05-07 12:42:39,0.0811156448,0.025502544075740888,1.20191195,164.9850087913958
2024-05-07 12:42:43,0.0811409842,0.025501839203379652,1.20187873,165.02584371880872
2024-05-07 12:42:47,0.0811669269,0.025501903282685222,1.20188175,165.0639508065002
2024-05-07 12:42:51,0.0811874398,0.025499404614134365,1.20176399,165.10609938529086
2024-05-07 12:43:00,0.0812538048,0.025498507503856425,1.20172171,165.20859910247958
2024-05-07 12:43:04,0.0812725077,0.025498763821078695,1.20173379,165.2350840538923
2024-05-07 12:43:08,0.0812957355,0.025497354288539352,1.20166736,165.27613367003062
2024-05-07 12:43:12,0.0813150417,0.025496072914611142,1.20160697,165.310775099152
2024-05-07 12:43:21,0.0813533524,0.025495944756000005,1.20160093,165.36811647490288
2024-05-07 12:43:25,0.0813678321,0.025495624359472172,1.20158583,165.3910745515367
2024-05-07 12:43:29,0.0813832167,0.025493702192488293,1.20149524,165.4229463006663
2024-05-07 12:43:33,0.0813992046,0.025494791328499803,1.20154657,165.44147558992995
2024-05-07 12:43:41,0.0814459618,0.02549402258901613,1.20151034,165.5143623900656
2024-05-07 12:43:45,0.0814616481,0.02549203634272668,1.20141673,165.54699620105572
2024-05-07 12:43:50,0.0814782394,0.02549267713578235,1.20144693,165.56853801148765
2024-05-07 12:43:54,0.081492719,0.02549267713578235,1.20144693,165.58998505038093
2024-05-07 12:43:58,0.0815023721,0.025490370492965066,1.20133822,165.61520733467802
2024-05-07 12:44:02,0.0815138352,0.025490242334353937,1.20133218,165.63279513225837
2024-05-07 12:44:06,0.0815364596,0.025492228580643383,1.20142579,165.65689875145995
2024-05-07 12:44:11,0.0815500343,0.025493445875266023,1.20148316,165.6712382480436
2024-05-07 12:44:15,0.0815648156,0.025492805294393486,1.20145297,165.6961675818053
2024-05-07 12:44:19,0.0815865351,0.02549306139943262,1.20146504,165.72712481733478
2024-05-07 12:44:23,0.0815949816,0.025492356739254516,1.20143183,165.74297657545787
2024-05-07 12:44:32,0.0816218292,0.025490434572270636,1.20134124,165.79186163592146
2024-05-07 12:44:36,0.0816320857,0.025489729699909397,1.20130802,165.810399380172
2024-05-07 12:44:40,0.0816399288,0.025489793779214964,1.20131104,165.8217142629319
2024-05-07 12:44:44,0.0816510902,0.02548966562060383,1.201305,165.83885710738346
2024-05-07 12:44:52,0.0816688881,0.025488896881120156,1.20126877,165.86887240227244
2024-05-07 12:44:56,0.0816812561,0.025489537461992694,1.20129896,165.88415424979806
2024-05-07 12:45:00,0.0816972441,0.02548940930338156,1.20129292,165.9084481504239
2024-05-07 12:45:05,0.0817126287,0.025489153198342426,1.20128085,165.93245615369483
2024-05-07 12:45:13,0.0817280133,0.025487423269275243,1.20119932,165.9634662260441
2024-05-07 12:45:17,0.0817400797,0.025488448325981187,1.20124763,165.97647324216624
2024-05-07 12:45:21,0.0817518444,0.02548838424667562,1.20124461,165.99420748917643
2024-05-07 12:45:26,0.0817554643,0.025488832801814586,1.20126575,165.99743894836007
2024-05-07 12:45:30,0.0817654191,0.02548812792945335,1.20123253,166.01553718737588
2024-05-07 12:45:34,0.0817732622,0.025488320167370054,1.20124159,166.02624345723189
2024-05-07 12:45:38,0.0817838203,0.025487551427886383,1.20120536,166.04554035007902
