time,voltage,current,shunt_voltage,temperature,seconds_combined,temperature_corr_err,temperature_uncorr
2024-03-14 10:21:28,0.201442134,0.0227344226815279,1.07145288,384.0298760769265,40002.0,0.10679068553158624,384.2793948188478
2024-03-14 10:21:37,0.201440022,0.0227339618197674,1.07143116,384.0322673902,40011.0,0.10680456283474322,384.2828255501546
2024-03-14 10:21:45,0.201438514,0.0227333793770727,1.07140371,384.03770026318165,40019.0,0.10681689638737822,384.2891821847392
2024-03-14 10:21:53,0.201442737,0.0227333089322732,1.07140039,384.0452116458351,40027.0,0.10682922821963678,384.2976171732228
2024-03-14 10:22:02,0.20144153,0.0227336418476058,1.07141608,384.0369389625568,40036.0,0.1068430994745956,384.290383360339
2024-03-14 10:22:10,0.201441832,0.022733072135899,1.07138923,384.0453260437024,40044.0,0.10685542765120214,384.2996937163847
2024-03-14 10:22:18,0.201449072,0.0227329248808061,1.07138229,384.0592728722508,40052.0,0.10686775410757193,384.3145636641425
2024-03-14 10:22:27,0.201464155,0.0227345508401391,1.07145892,384.0594081958562,40061.0,0.10688161931482354,384.315737310792
2024-03-14 10:22:35,0.201461138,0.0227342499644593,1.07144474,384.05787503439007,40069.0,0.10689394211584013,384.3151269377796
2024-03-14 10:22:43,0.201468076,0.0227335139011778,1.07141005,384.0803763722432,40077.0,0.10690626319676147,384.3385509084777
2024-03-14 10:22:52,0.201460535,0.0227338275078454,1.07142483,384.06137980275145,40086.0,0.10692012235680347,384.3205921149682
2024-03-14 10:23:00,0.201474411,0.0227338081991805,1.07142392,384.0849016503205,40094.0,0.10693243978267433,384.3450362648008
2024-03-14 10:23:04,0.201481953,0.0227337634285399,1.07142181,384.0982553726685,40098.0,0.10693859785062494,384.3588510799565
2024-03-14 10:23:08,0.201475919,0.0227337443320581,1.07142091,384.08758861549126,40102.0,0.10694475548859335,384.3486453767084
2024-03-14 10:23:12,0.201478634,0.0227339811284323,1.07143207,384.0882002446127,40106.0,0.10695091269658537,384.349718020884
2024-03-14 10:23:17,0.201491606,0.0227347235572077,1.07146706,384.09874723137983,40111.0,0.10695860860192993,384.3608412218055
2024-03-14 10:23:21,0.201489796,0.0227352548637678,1.0714921,384.08694314722055,40115.0,0.10696476484249628,384.34949806524327
2024-03-14 10:23:29,0.201500052,0.0227353828101958,1.07149813,384.1018943088323,40123.0,0.10697707603376239,384.36537096545896
2024-03-14 10:23:38,0.201503672,0.0227349987587286,1.07148003,384.1130795045649,40132.0,0.10699092406826073,384.37759293133286
2024-03-14 10:23:42,0.201504577,0.0227354084843546,1.07149934,384.1078746035598,40136.0,0.10699707805161555,384.3728487539229
2024-03-14 10:23:46,0.201496432,0.0227345956107797,1.07146103,384.1057773804166,40140.0,0.1070032316050437,384.3712122155275
2024-03-14 10:23:54,0.201498242,0.0227343779108873,1.07145077,384.1113632926764,40148.0,0.10701553742214355,384.37771938075423
2024-03-14 10:24:03,0.201502164,0.0227342563299532,1.07144504,384.11902705084657,40157.0,0.10702937941088109,384.3864193628219
2024-03-14 10:24:07,0.201502164,0.0227355557394476,1.07150628,384.09852627459105,40161.0,0.10703553070729123,384.3663790674198
2024-03-14 10:24:11,0.201506387,0.022734557205633,1.07145922,384.12081414346835,40165.0,0.10704168157381178,384.3891273783237
2024-03-14 10:24:15,0.201509404,0.0227350180673936,1.07148094,384.11849564618933,40169.0,0.10704783201044867,384.3872692842477
2024-03-14 10:24:19,0.201515738,0.0227354659859831,1.07150205,384.1221486148392,40173.0,0.10705398201720794,384.3913826172803
2024-03-14 10:24:24,0.20151242,0.0227351139741688,1.07148546,384.1212287763663,40178.0,0.10706166892115074,384.3910381796999
2024-03-14 10:24:32,0.201509705,0.0227343522367284,1.07144956,384.1273325653215,40186.0,0.10707396657040573,384.3980624839438
2024-03-14 10:24:40,0.201511817,0.0227343395057406,1.07144896,384.13028374752923,40194.0,0.10708626250025252,384.4019340262148
2024-03-14 10:24:49,0.201508197,0.0227335523063245,1.07141186,384.1350913724511,40203.0,0.10710009336616037,384.4077768706976
2024-03-14 10:24:57,0.201520867,0.0227345251659802,1.07145771,384.1412130790629,40211.0,0.10711238564242585,384.4148186076056
2024-03-14 10:25:05,0.201518453,0.0227347940020072,1.07147038,384.13194589167836,40219.0,0.10712467619943515,384.4064712953737
2024-03-14 10:25:10,0.201520263,0.0227337186578992,1.0714197,384.1511078875185,40224.0,0.107132356924528,384.426208134412
2024-03-14 10:25:14,0.201518152,0.0227330016910995,1.07138591,384.15803449836403,40228.0,0.10713850102108331,384.4335945761935
2024-03-14 10:25:18,0.201519962,0.0227333282409381,1.0714013,384.1556870426097,40232.0,0.10714464468785068,384.4317069126032
2024-03-14 10:25:22,0.201513928,0.0227328353395248,1.07137807,384.1523303257256,40236.0,0.1071507879248363,384.4288099491144
2024-03-14 10:25:26,0.201517247,0.0227326689879501,1.07137023,384.1602128344794,40240.0,0.10715693073204634,384.437152172498
2024-03-14 10:25:35,0.201516643,0.0227322272226713,1.07134941,384.1649427003165,40249.0,0.10717075047693406,384.4429162545328
2024-03-14 10:25:43,0.201525995,0.0227333282409381,1.0714013,384.1633130153422,40257.0,0.10718303286814941,384.4422057081362
2024-03-14 10:25:47,0.201531425,0.0227330530394172,1.07138833,384.1765486316088,40261.0,0.10718917341913958,384.4559008355675
2024-03-14 10:25:51,0.201531726,0.0227339938594201,1.07143267,384.16209896277576,40265.0,0.10719531354039309,384.4419106391541
2024-03-14 10:25:55,0.201537156,0.0227331937168331,1.07139496,384.18343281995124,40269.0,0.10720145323191621,384.4637039300075
2024-03-14 10:26:00,0.201530218,0.0227328226085369,1.07137747,384.1765100164974,40274.0,0.10720912724202131,384.4573553641754
2024-03-14 10:26:04,0.20153414,0.0227333923202437,1.07140432,384.1740866545581,40278.0,0.10721526596667404,384.4553913487569
2024-03-14 10:26:12,0.201543793,0.0227339683974444,1.07143147,384.1810790292021,40286.0,0.10722754212685598,384.4633023002524
2024-03-14 10:26:20,0.201536553,0.0227334241477134,1.07140582,384.1759578359113,40294.0,0.10723981656824881,384.45909952891446
2024-03-14 10:26:25,0.20153957,0.0227329505549649,1.0713835,384.1879408517089,40299.0,0.10724748722131924,384.4716564797849
2024-03-14 10:26:29,0.201546809,0.0227331425806985,1.07139255,384.19711685563306,40303.0,0.10725362326038879,384.4812915882137
2024-03-14 10:26:33,0.201545301,0.0227333282409381,1.0714013,384.1911690176654,40307.0,0.10725975886978809,384.4758028160399
