time,voltage,current,shunt_voltage,temperature
2024-04-03 18:03:52,0.24756585,0.03633732195183018,1.71254528,303.98456853757654
2024-04-03 18:03:56,0.247595111,0.03633762282750997,1.71255946,304.0136657964268
2024-04-03 18:04:00,0.247612909,0.03633720037089611,1.71253955,304.03577587768757
2024-04-03 18:04:04,0.24762588,0.03633735399148297,1.71254679,304.0485267491769
2024-04-03 18:04:08,0.247634025,0.03633761646201604,1.71255916,304.05532379931475
2024-04-03 18:04:13,0.247641868,0.03633699561417468,1.7125299,304.0682351113509
2024-04-03 18:04:17,0.247644583,0.03633683541591076,1.71252235,304.0723059101539
2024-04-03 18:04:21,0.247651823,0.036335196937773054,1.71244513,304.0919900540991
2024-04-03 18:04:25,0.247662984,0.0363364963472674,1.71250637,304.0944544545062
2024-04-03 18:04:29,0.247661174,0.03633601617684191,1.71248374,304.09601869604705
2024-04-03 18:04:34,0.247661174,0.03633506241366799,1.71243879,304.10297065215383
2024-04-03 18:04:38,0.247662984,0.03633469767086577,1.7124216,304.1075650390958
2024-04-03 18:04:42,0.247668715,0.03633526101707862,1.71244815,304.109587457373
2024-04-03 18:04:46,0.247669319,0.03633414726782391,1.71239566,304.1183521689564
2024-04-03 18:04:50,0.2476841,0.03633529284454827,1.71244965,304.125808394685
2024-04-03 18:04:55,0.247688323,0.03633558735473412,1.71246353,304.1281775925085
2024-04-03 18:04:59,0.247697976,0.03633555531508134,1.71246202,304.1387341370873
2024-04-03 18:05:03,0.24768953,0.036334646534731195,1.71241919,304.13632696890386
2024-04-03 18:05:07,0.247692547,0.036335811420120476,1.71247409,304.1310613514863
2024-04-03 18:05:11,0.247692547,0.03633429452291684,1.7124026,304.1421197476335
2024-04-03 18:05:15,0.247697373,0.03633481288630591,1.71242703,304.1435017625761
2024-04-03 18:05:20,0.247706121,0.03633530578771926,1.71245026,304.14926360539204
2024-04-03 18:05:24,0.247704613,0.0363338975282787,1.71238389,304.1579181876128
2024-04-03 18:05:28,0.247706725,0.036335216034254846,1.71244603,304.1505638834057
2024-04-03 18:05:32,0.247710043,0.03633494083273391,1.71243306,304.15611866903447
2024-04-03 18:05:36,0.24770944,0.03633482561729377,1.71242763,304.1563138102934
2024-04-03 18:05:40,0.247710043,0.036335382598012694,1.71245388,304.15289789183
2024-04-03 18:05:45,0.247719093,0.03633512649297355,1.71244181,304.1644434226589
2024-04-03 18:05:49,0.247707026,0.03633380798699742,1.71237967,304.1611516708445
2024-04-03 18:05:53,0.247707328,0.03633346234067699,1.71236338,304.1639948379553
2024-04-03 18:05:57,0.247710948,0.03633387843179692,1.71238299,304.16483250284057
2024-04-03 18:06:01,0.247713059,0.0363335711906232,1.71236851,304.16933035751555
2024-04-03 18:06:05,0.247718188,0.036333020575398216,1.71234256,304.17883062054347
2024-04-03 18:06:10,0.247720903,0.03633319350464999,1.71235071,304.18047332278303
2024-04-03 18:06:14,0.247714266,0.036332393362062926,1.712313,304.17920958560205
2024-04-03 18:06:18,0.247723617,0.03633376321635677,1.71237756,304.1792217060542
2024-04-03 18:06:22,0.247726634,0.036334172729799635,1.71239686,304.17946226723916
2024-04-03 18:06:26,0.247718188,0.03633282876184778,1.71233352,304.18022929340066
2024-04-03 18:06:31,0.247725126,0.036333494380329776,1.71236489,304.18279582588264
2024-04-03 18:06:35,0.247732064,0.03633291193763513,1.71233744,304.19446312466175
2024-04-03 18:06:39,0.247727237,0.03633241903622178,1.71231421,304.1928950023331
2024-04-03 18:06:43,0.247726634,0.03633220770182329,1.71230425,304.1937912070988
2024-04-03 18:06:47,0.247728444,0.03633243813270357,1.71231511,304.19404664447995
2024-04-03 18:06:51,0.247729047,0.0363323165517695,1.71230938,304.1955781731912
2024-04-03 18:06:56,0.247729047,0.03633162525912865,1.7122768,304.20061945823574
2024-04-03 18:07:00,0.247738097,0.03633247653785029,1.71231692,304.2040906051782
2024-04-03 18:07:04,0.247736891,0.03633218223984757,1.71230305,304.2049469915171
2024-04-03 18:07:08,0.247736891,0.03633271354640763,1.71232809,304.2010723523563
2024-04-03 18:07:12,0.247733874,0.03633103645094008,1.71224905,304.2100763527092
2024-04-03 18:07:17,0.247735382,0.03633124778533857,1.71225901,304.2101479640687
2024-04-03 18:07:21,0.247743527,0.03633319987014392,1.71235101,304.2046230637031
2024-04-03 18:07:25,0.247742019,0.03633277741353007,1.7123311,304.2060910620073
2024-04-03 18:07:29,0.247739605,0.03633195180896728,1.71229219,304.209530205883
2024-04-03 18:07:33,0.247745639,0.036332751951554346,1.7123299,304.21014838845883
2024-04-03 18:07:38,0.24775137,0.03633306555822199,1.71234468,304.21399066946185
2024-04-03 18:07:42,0.247746845,0.036332655832596,1.71232537,304.2121392035652
2024-04-03 18:07:46,0.247747147,0.03633250857750307,1.71231843,304.2135361157506
2024-04-03 18:07:50,0.247752275,0.03633223974147607,1.71230576,304.22098127967155
2024-04-03 18:07:54,0.247750767,0.03633192613480843,1.71229098,304.2216556314714
2024-04-03 18:07:58,0.247757102,0.03633308465470378,1.71234558,304.21998179939527
2024-04-03 18:08:03,0.247757705,0.0363329821702515,1.71234075,304.22137413353505
2024-04-03 18:08:07,0.247764945,0.03633247653785029,1.71231692,304.2328051316244
2024-04-03 18:08:11,0.247763437,0.03633230382078164,1.71230878,304.2324519986331
2024-04-03 18:08:15,0.247765548,0.03633328304593128,1.71235493,304.22756792204405
2024-04-03 18:08:19,0.247764945,0.03633250857750307,1.71231843,304.23257145138126
2024-04-03 18:08:23,0.247759817,0.03633077398040701,1.71223668,304.23973851015967
