time,voltage,current,shunt_voltage,temperature,seconds_combined,temperature_corr_err,temperature_uncorr
2024-06-19 06:20:59,0.12923467,0.0348833813928125,1.64402237,184.68296306185647,29588.0,1842.0767745971934,184.80415061391875
2024-06-19 06:21:03,0.129234972,0.0348824842825345,1.64398009,184.68640389201292,29592.0,1842.0767745971934,184.80808790130044
2024-06-19 06:21:07,0.12923648,0.0348817155430509,1.64394386,184.69063825837512,29596.0,1842.0767745971934,184.81281859323272
2024-06-19 06:21:11,0.129238592,0.0348816514637453,1.64394084,184.692693527554,29600.0,1842.0767745971934,184.81537005622727
2024-06-19 06:21:16,0.129242815,0.0348819077809676,1.64395292,184.6956282805632,29605.0,1842.0767745971934,184.81892486607524
2024-06-19 06:21:20,0.129244926,0.0348820357273956,1.64395895,184.69691007967978,29609.0,1842.0767745971934,184.82070256219748
2024-06-19 06:21:24,0.129253071,0.0348817796223564,1.64394688,184.70629027656736,29613.0,1842.0767745971934,184.83057852401413
2024-06-19 06:21:28,0.129256691,0.0348827405997568,1.64399217,184.70585886329465,29617.0,1842.0767745971934,184.83064274349505
2024-06-19 06:21:37,0.129267551,0.0348839578943794,1.64404954,184.71163912309802,29626.0,1842.0767745971934,184.83753769321527
2024-06-19 06:21:41,0.129263931,0.0348822920446178,1.64397103,184.71391647909326,29630.0,1842.0767745971934,184.8403102517112
2024-06-19 06:21:45,0.129271171,0.0348828046790624,1.64399519,184.71922080679673,29634.0,1842.0767745971934,184.84610964932
2024-06-19 06:21:49,0.129269662,0.0348829328376735,1.64400123,184.7165713905753,29638.0,1842.0767745971934,184.8439551703101
2024-06-19 06:21:53,0.129269662,0.0348825483618401,1.64398311,184.71762387483903,29642.0,1842.0767745971934,184.84550245899285
2024-06-19 06:21:57,0.129271171,0.0348820357273956,1.64395895,184.7208310639762,29646.0,1842.0767745971934,184.84920431965816
2024-06-19 06:22:02,0.129272377,0.0348814592258286,1.64393178,184.72384289823123,29651.0,1842.0767745971934,184.85283430629568
2024-06-19 06:22:06,0.129274489,0.0348814592258286,1.64393178,184.72564219109083,29655.0,1842.0767745971934,184.85512797131932
2024-06-19 06:22:10,0.129274791,0.0348815873844397,1.64393782,184.72496010494334,29659.0,1842.0767745971934,184.8549401241254
2024-06-19 06:22:14,0.129283237,0.0348819718602731,1.64395594,184.7320909035542,29663.0,1842.0767745971934,184.8625650283813
2024-06-19 06:22:18,0.129285349,0.0348829969169791,1.64400425,184.72976471572198,29667.0,1842.0767745971934,184.8607328127874
2024-06-19 06:22:23,0.129287159,0.0348833813928125,1.64402237,184.72956556783933,29672.0,1842.0767745971934,184.86115094245028
2024-06-19 06:22:27,0.129286254,0.0348822279653123,1.64396801,184.73273159193727,29676.0,1842.0767745971934,184.86481063826324
2024-06-19 06:22:31,0.129283539,0.0348819718602731,1.64395594,184.7303204159674,29680.0,1842.0767745971934,184.8628930002834
2024-06-19 06:22:35,0.129289572,0.0348815233051341,1.6439348,184.7381844147561,29684.0,1842.0767745971934,184.8712504032393
2024-06-19 06:22:39,0.129284745,0.0348819077809676,1.64395292,184.7309013828198,29688.0,1842.0767745971934,184.86446064154967
2024-06-19 06:22:43,0.129284444,0.0348826124411457,1.64398613,184.72724509060708,29692.0,1842.0767745971934,184.8612974855654
2024-06-19 06:22:47,0.129282935,0.0348796652174558,1.64384723,184.73697659595567,29696.0,1842.0767745971934,184.87152199302665
2024-06-19 06:22:52,0.129280522,0.0348815873844397,1.64393782,184.72600259590612,29701.0,1842.0767745971934,184.86116405686903
2024-06-19 06:22:56,0.129276902,0.034882420203229,1.64397707,184.71822656991947,29705.0,1842.0767745971934,184.853880730878
2024-06-19 06:23:00,0.129279014,0.0348812669879119,1.64392272,184.72466923380836,29709.0,1842.0767745971934,184.8608159603301
2024-06-19 06:23:04,0.129279316,0.0348821638860067,1.64396499,184.7208947813157,29713.0,1842.0767745971934,184.85753393887077
2024-06-19 06:23:09,0.129282332,0.0348835736307292,1.64403143,184.7178808325021,29718.0,1842.0767745971934,184.85513533951823
2024-06-19 06:23:13,0.129285349,0.0348833173135069,1.64401935,184.72169663347978,29722.0,1842.0767745971934,184.85944326848187
2024-06-19 06:23:21,0.129281427,0.0348824842825345,1.64398009,184.7198064184491,29730.0,1842.0767745971934,184.8585369047896
2024-06-19 06:23:25,0.129279316,0.0348819077809676,1.64395292,184.71934252897958,29734.0,1842.0767745971934,184.85856473847852
2024-06-19 06:23:30,0.129287159,0.0348828046790624,1.64399519,184.72363548982474,29739.0,1842.0767745971934,184.863472163225
2024-06-19 06:23:34,0.129285952,0.0348821638860067,1.64396499,184.72441250068093,29743.0,1842.0767745971934,184.8647405930469
