time,shunt_resistance
2023-10-12 15:40:23.550989, 47.1294219
2023-10-12 15:40:24.342959, 47.1286478
2023-10-12 15:40:25.110274, 47.1288264
2023-10-12 15:40:25.890624, 47.128886
2023-10-12 15:40:26.658775, 47.1290646
2023-10-12 15:40:27.442680, 47.1289455
2023-10-12 15:40:28.205387, 47.1296601
2023-10-12 15:40:28.977125, 47.1296303
2023-10-12 15:40:29.737247, 47.1296899
2023-10-12 15:40:30.532361, 47.1291242
2023-10-12 15:40:31.306179, 47.128886
2023-10-12 15:40:32.084372, 47.1288562
2023-10-12 15:40:32.863418, 47.1294517
2023-10-12 15:40:33.631493, 47.1288562
2023-10-12 15:40:34.411426, 47.1290944
2023-10-12 15:40:35.186502, 47.1293028
2023-10-12 15:40:35.945310, 47.128618
2023-10-12 15:40:36.720260, 47.1290944
2023-10-12 15:40:37.493378, 47.1297197
2023-10-12 15:40:38.268089, 47.129541
2023-10-12 15:40:39.042195, 47.1295112
2023-10-12 15:40:39.830505, 47.1290944
2023-10-12 15:40:40.610983, 47.129273
2023-10-12 15:40:41.373436, 47.1293921
2023-10-12 15:40:42.142255, 47.1299876
2023-10-12 15:40:42.922414, 47.1293624
2023-10-12 15:40:43.690362, 47.1294517
2023-10-12 15:40:44.464566, 47.1293028
2023-10-12 15:40:45.234079, 47.129273
2023-10-12 15:40:46.015241, 47.1289753
2023-10-12 15:40:46.792299, 47.1290944
2023-10-12 15:40:47.553945, 47.1292433
2023-10-12 15:40:48.336276, 47.129273
2023-10-12 15:40:49.102361, 47.1294219
2023-10-12 15:40:49.869918, 47.1291539
2023-10-12 15:40:50.653396, 47.1291242
2023-10-12 15:40:51.422460, 47.1286775
2023-10-12 15:40:52.192108, 47.1286478
2023-10-12 15:40:52.973384, 47.1287073
2023-10-12 15:40:53.741237, 47.1289455
2023-10-12 15:40:54.532696, 47.1290348
2023-10-12 15:40:55.292623, 47.1287073
2023-10-12 15:40:56.082541, 47.1294219
2023-10-12 15:40:56.842290, 47.1294219
2023-10-12 15:40:57.611069, 47.1287669
2023-10-12 15:40:58.384276, 47.1291242
2023-10-12 15:40:59.159098, 47.1292135
2023-10-12 15:40:59.943833, 47.1290944
2023-10-12 15:41:00.718891, 47.1286478
2023-10-12 15:41:01.479824, 47.1287966
2023-10-12 15:41:02.265653, 47.129273
2023-10-12 15:41:03.041400, 47.1293921
2023-10-12 15:41:03.806458, 47.1289753
2023-10-12 15:41:04.580929, 47.1290348
2023-10-12 15:41:05.362263, 47.1293326
2023-10-12 15:41:06.123814, 47.1295708
2023-10-12 15:41:06.899206, 47.1290051
2023-10-12 15:41:07.672003, 47.1298388
2023-10-12 15:41:08.451882, 47.1297792
2023-10-12 15:41:09.239737, 47.1291837
2023-10-12 15:41:09.997292, 47.1296303
2023-10-12 15:41:10.780116, 47.1293921
2023-10-12 15:41:11.552178, 47.1293921
2023-10-12 15:41:12.319653, 47.1294815
2023-10-12 15:41:13.106048, 47.1290944
2023-10-12 15:41:13.873302, 47.1290646
2023-10-12 15:41:14.669850, 47.1290348
2023-10-12 15:41:15.432632, 47.1288562
2023-10-12 15:41:16.193571, 47.1293028
2023-10-12 15:41:16.976310, 47.1287669
2023-10-12 15:41:17.755942, 47.1290348
2023-10-12 15:41:18.522132, 47.1290944
2023-10-12 15:41:19.310356, 47.1293921
2023-10-12 15:41:20.081800, 47.1293028
2023-10-12 15:41:20.853781, 47.1290051
2023-10-12 15:41:21.628809, 47.1293028
2023-10-12 15:41:22.401748, 47.1292433
2023-10-12 15:41:23.186396, 47.1289157
2023-10-12 15:41:23.955375, 47.1292135
2023-10-12 15:41:24.730760, 47.1291242
2023-10-12 15:41:25.513486, 47.1290944
2023-10-12 15:41:26.281967, 47.1285287
2023-10-12 15:41:27.065469, 47.1291242
2023-10-12 15:41:27.831637, 47.128618
2023-10-12 15:41:28.611335, 47.1293921
2023-10-12 15:41:29.375202, 47.1289455
2023-10-12 15:41:30.169586, 47.1294517
2023-10-12 15:41:30.932385, 47.1290051
2023-10-12 15:41:31.708784, 47.1291837
2023-10-12 15:41:32.491711, 47.1291242
2023-10-12 15:41:33.246063, 47.1292135
2023-10-12 15:41:34.030433, 47.1290348
2023-10-12 15:41:34.794642, 47.1292433
2023-10-12 15:41:35.575145, 47.1289455
2023-10-12 15:41:36.348059, 47.1289753
2023-10-12 15:41:37.136437, 47.1293028
2023-10-12 15:41:37.905381, 47.1289753
2023-10-12 15:41:38.694799, 47.1293326
2023-10-12 15:41:39.447699, 47.1289157
2023-10-12 15:41:40.240510, 47.1286478
2023-10-12 15:41:41.001857, 47.1291242
2023-10-12 15:41:41.780650, 47.1292433
2023-10-12 15:41:42.569168, 47.1292135
2023-10-12 15:41:43.331781, 47.1290051
2023-10-12 15:41:44.118144, 47.1290348
2023-10-12 15:41:44.892577, 47.1290646
2023-10-12 15:41:45.661654, 47.1291837
2023-10-12 15:41:46.430973, 47.1289753
2023-10-12 15:41:47.209631, 47.1290944
2023-10-12 15:41:47.990188, 47.1286775
2023-10-12 15:41:48.763095, 47.1293326
2023-10-12 15:41:49.532021, 47.1287371
2023-10-12 15:41:50.313650, 47.1293326
2023-10-12 15:41:51.081741, 47.1290348
2023-10-12 15:41:51.871728, 47.1292135
2023-10-12 15:41:52.652540, 47.1292433
2023-10-12 15:41:53.412396, 47.1290051
2023-10-12 15:41:54.193827, 47.1290646
2023-10-12 15:41:54.954953, 47.129541
2023-10-12 15:41:55.749714, 47.1287669
2023-10-12 15:41:56.513345, 47.1291242
2023-10-12 15:41:57.295298, 47.1291837
2023-10-12 15:41:58.063313, 47.1287073
2023-10-12 15:41:58.844930, 47.1296601
2023-10-12 15:41:59.611668, 47.1289753
2023-10-12 15:42:00.380449, 47.1288562
2023-10-12 15:42:01.166193, 47.1290348
2023-10-12 15:42:01.925765, 47.1289455
2023-10-12 15:42:02.698922, 47.1285882
2023-10-12 15:42:03.481787, 47.1284989
2023-10-12 15:42:04.247920, 47.1289753
2023-10-12 15:42:05.040306, 47.1285882
2023-10-12 15:42:05.809204, 47.1285287
2023-10-12 15:42:06.589359, 47.1283798
2023-10-12 15:42:07.358684, 47.1282607
2023-10-12 15:42:08.131266, 47.1285882
2023-10-12 15:42:08.903590, 47.128082
2023-10-12 15:42:09.685327, 47.1283798
2023-10-12 15:42:10.461777, 47.1286775
2023-10-12 15:42:11.236308, 47.1284096
2023-10-12 15:42:12.019364, 47.128618
2023-10-12 15:42:12.780373, 47.12835
2023-10-12 15:42:13.561918, 47.1285287
2023-10-12 15:42:14.321833, 47.1280225
2023-10-12 15:42:15.099009, 47.1285287
2023-10-12 15:42:15.872824, 47.1288562
2023-10-12 15:42:16.641390, 47.1286775
2023-10-12 15:42:17.431699, 47.1281118
2023-10-12 15:42:18.199146, 47.1286478
2023-10-12 15:42:18.971961, 47.1283798
2023-10-12 15:42:19.751334, 47.1290348
2023-10-12 15:42:20.520548, 47.1281714
2023-10-12 15:42:21.308998, 47.1279927
2023-10-12 15:42:22.071402, 47.1279927
2023-10-12 15:42:22.851486, 47.1282011
2023-10-12 15:42:23.620262, 47.1288264
2023-10-12 15:42:24.394031, 47.1284691
2023-10-12 15:42:25.157536, 47.1285287
2023-10-12 15:42:25.952783, 47.1287073
2023-10-12 15:42:26.715347, 47.1289753
2023-10-12 15:42:27.503067, 47.1287073
2023-10-12 15:42:28.264891, 47.1284393
2023-10-12 15:42:29.059597, 47.1282309
2023-10-12 15:42:29.831188, 47.1282607
2023-10-12 15:42:30.604396, 47.1281416
2023-10-12 15:42:31.370342, 47.1278141
2023-10-12 15:42:32.150592, 47.1277545
2023-10-12 15:42:32.915094, 47.1282309
2023-10-12 15:42:33.697326, 47.1282011
2023-10-12 15:42:34.464740, 47.1281714
2023-10-12 15:42:35.238918, 47.1285584
2023-10-12 15:42:36.026364, 47.1282011
2023-10-12 15:42:36.800660, 47.12835
2023-10-12 15:42:37.564602, 47.1282011
2023-10-12 15:42:38.353539, 47.12835
2023-10-12 15:42:39.112476, 47.1276652
2023-10-12 15:42:39.894761, 47.1279629
2023-10-12 15:42:40.662322, 47.1279927
2023-10-12 15:42:41.443714, 47.1281118
2023-10-12 15:42:42.205870, 47.1282011
2023-10-12 15:42:42.984604, 47.1287669
2023-10-12 15:42:43.760449, 47.1282905
2023-10-12 15:42:44.540093, 47.1282905
2023-10-12 15:42:45.312577, 47.1277247
2023-10-12 15:42:46.094370, 47.1277247
2023-10-12 15:42:46.856153, 47.1284691
2023-10-12 15:42:47.629409, 47.1284989
2023-10-12 15:42:48.419618, 47.1281118
2023-10-12 15:42:49.192706, 47.1282309
2023-10-12 15:42:49.981821, 47.1280523
2023-10-12 15:42:50.742667, 47.12835
2023-10-12 15:42:51.511981, 47.1289455
2023-10-12 15:42:52.292666, 47.1284096
2023-10-12 15:42:53.073601, 47.1287669
2023-10-12 15:42:53.849987, 47.1282607
2023-10-12 15:42:54.620211, 47.1279332
2023-10-12 15:42:55.395765, 47.1278438
2023-10-12 15:42:56.171662, 47.1284989
2023-10-12 15:42:56.946145, 47.1278141
2023-10-12 15:42:57.713509, 47.1287371
2023-10-12 15:42:58.482592, 47.1278438
2023-10-12 15:42:59.249500, 47.1284096
2023-10-12 15:43:00.042346, 47.1284096
2023-10-12 15:43:00.800151, 47.1282607
2023-10-12 15:43:01.586839, 47.1282905
2023-10-12 15:43:02.361233, 47.12835
2023-10-12 15:43:03.124035, 47.1279034
2023-10-12 15:43:03.895926, 47.1283202
2023-10-12 15:43:04.684926, 47.1283202
2023-10-12 15:43:05.446139, 47.1279927
2023-10-12 15:43:06.234550, 47.128618
2023-10-12 15:43:07.000729, 47.1279332
2023-10-12 15:43:07.772383, 47.1285584
2023-10-12 15:43:08.545496, 47.1279629
2023-10-12 15:43:09.320704, 47.1282607
2023-10-12 15:43:10.093527, 47.1281416
2023-10-12 15:43:10.876115, 47.1282607
2023-10-12 15:43:11.636322, 47.1284393
2023-10-12 15:43:12.406649, 47.1277843
2023-10-12 15:43:13.181326, 47.1279629
2023-10-12 15:43:13.946968, 47.1285584
2023-10-12 15:43:14.721492, 47.128618
2023-10-12 15:43:15.512406, 47.12835
2023-10-12 15:43:16.278659, 47.1284096
2023-10-12 15:43:17.054484, 47.1283202
2023-10-12 15:43:17.837254, 47.1279629
2023-10-12 15:43:18.605485, 47.1284989
2023-10-12 15:43:19.379282, 47.1280523
2023-10-12 15:43:20.160974, 47.1282011
2023-10-12 15:43:20.927499, 47.1282905
2023-10-12 15:43:21.710270, 47.1279034
2023-10-12 15:43:22.490303, 47.1280225
2023-10-12 15:43:23.265612, 47.1271292
2023-10-12 15:43:24.041343, 47.1282309
2023-10-12 15:43:24.807379, 47.1282011
2023-10-12 15:43:25.582401, 47.1279927
2023-10-12 15:43:26.354634, 47.1276056
2023-10-12 15:43:27.129160, 47.1282011
2023-10-12 15:43:27.902928, 47.1278141
2023-10-12 15:43:28.695022, 47.1285287
2023-10-12 15:43:29.445419, 47.1284393
2023-10-12 15:43:30.210613, 47.1283202
2023-10-12 15:43:31.003971, 47.1285287
2023-10-12 15:43:31.770994, 47.1287669
2023-10-12 15:43:32.537608, 47.1285584
2023-10-12 15:43:33.312590, 47.1284989
2023-10-12 15:43:34.084746, 47.1281714
2023-10-12 15:43:34.865689, 47.1279332
2023-10-12 15:43:35.642680, 47.1279332
2023-10-12 15:43:36.404847, 47.1278736
2023-10-12 15:43:37.185591, 47.1284691
2023-10-12 15:43:37.969473, 47.1279332
2023-10-12 15:43:38.727729, 47.1274568
2023-10-12 15:43:39.503432, 47.1282905
2023-10-12 15:43:40.276655, 47.1282309
2023-10-12 15:43:41.044867, 47.1282011
2023-10-12 15:43:41.826766, 47.1287669
2023-10-12 15:43:42.602016, 47.1285882
2023-10-12 15:43:43.375230, 47.1281118
2023-10-12 15:43:44.163586, 47.1281118
2023-10-12 15:43:44.928143, 47.1285287
2023-10-12 15:43:45.703314, 47.12835
2023-10-12 15:43:46.476416, 47.1279629
2023-10-12 15:43:47.252899, 47.1283798
2023-10-12 15:43:48.033298, 47.1281714
2023-10-12 15:43:48.813183, 47.1285584
2023-10-12 15:43:49.585439, 47.1279927
2023-10-12 15:43:50.360353, 47.1284989
2023-10-12 15:43:51.136757, 47.128082
2023-10-12 15:43:51.906532, 47.1280225
2023-10-12 15:43:52.675614, 47.128082
2023-10-12 15:43:53.451037, 47.1279034
2023-10-12 15:43:54.219072, 47.127427
2023-10-12 15:43:55.016221, 47.127695
2023-10-12 15:43:55.793522, 47.1279034
2023-10-12 15:43:56.556770, 47.1277843
2023-10-12 15:43:57.344728, 47.1279332
2023-10-12 15:43:58.099250, 47.1278736
2023-10-12 15:43:58.872824, 47.1289157
2023-10-12 15:43:59.664915, 47.1278438
2023-10-12 15:44:00.419445, 47.1281714
2023-10-12 15:44:01.207771, 47.1282905
2023-10-12 15:44:01.994804, 47.1285882
2023-10-12 15:44:02.764303, 47.1282607
2023-10-12 15:44:03.534364, 47.1279332
2023-10-12 15:44:04.299728, 47.1277843
2023-10-12 15:44:05.068902, 47.1283202
2023-10-12 15:44:05.847849, 47.1280523
2023-10-12 15:44:06.616102, 47.1272483
2023-10-12 15:44:07.395567, 47.1276652
2023-10-12 15:44:08.174480, 47.1279927
2023-10-12 15:44:08.954557, 47.1283798
2023-10-12 15:44:09.719398, 47.1278736
2023-10-12 15:44:10.500177, 47.1280225
2023-10-12 15:44:11.274740, 47.1278141
2023-10-12 15:44:12.054857, 47.12835
2023-10-12 15:44:12.828197, 47.1278736
2023-10-12 15:44:13.596792, 47.1282011
2023-10-12 15:44:14.378820, 47.1284393
2023-10-12 15:44:15.167445, 47.1279927
2023-10-12 15:44:15.923773, 47.1282309
2023-10-12 15:44:16.704345, 47.1282905
2023-10-12 15:44:17.467058, 47.1284393
2023-10-12 15:44:18.236010, 47.1281118
2023-10-12 15:44:19.013880, 47.1277545
2023-10-12 15:44:19.794283, 47.1278736
2023-10-12 15:44:20.567789, 47.1276056
2023-10-12 15:44:21.320926, 47.1281118
2023-10-12 15:44:22.102456, 47.1280225
2023-10-12 15:44:22.876995, 47.1284096
2023-10-12 15:44:23.659645, 47.1277545
2023-10-12 15:44:24.427746, 47.1287073
2023-10-12 15:44:25.208795, 47.1282607
2023-10-12 15:44:25.978771, 47.127695
2023-10-12 15:44:26.753933, 47.1280523
2023-10-12 15:44:27.528338, 47.1280523
2023-10-12 15:44:28.295547, 47.1279034
2023-10-12 15:44:29.075657, 47.1282905
2023-10-12 15:44:29.848024, 47.1284096
2023-10-12 15:44:30.636268, 47.1280523
2023-10-12 15:44:31.401284, 47.1279927
2023-10-12 15:44:32.167663, 47.1277545
2023-10-12 15:44:32.958412, 47.1280523
